timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,recording_id
1695641845803,-0.54833984,0.055114746,-0.8394165,-0.6875,5.5,0.171875,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641845847,-0.6179199,0.006286621,-0.8242798,0.234375,5.609375,0.03125,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641845881,-0.5913086,0.039978027,-0.8352661,0.46875,1.734375,-1.46875,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641845926,-0.5888672,0.046325684,-0.82476807,-0.25,2.171875,-1.328125,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641845972,-0.5810547,0.035339355,-0.82940674,-1.296875,1.109375,0.640625,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846005,-0.5908203,0.05731201,-0.83843994,0.0,1.84375,0.53125,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846050,-0.58154297,0.06585693,-0.8377075,0.875,3.265625,2.921875,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846095,-0.5944824,0.04437256,-0.82696533,3.5,12.78125,5.515625,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846129,-0.625,0.054138184,-0.8401489,3.953125,24.859375,8.703125,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846163,-0.7116699,0.08099365,-0.91119385,25.34375,46.453125,11.921875,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846207,-0.65063477,0.101501465,-0.65948486,-0.21875,23.125,11.9375,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846267,-0.6687012,-0.05279541,-0.61846924,3.734375,15.109375,7.6875,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846297,-0.6291504,0.038024902,-0.6428833,0.609375,4.09375,3.765625,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846321,-0.7841797,0.0006713867,-0.69903564,-4.0625,-6.015625,-1.890625,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846377,-0.8083496,-0.027160645,-0.7546997,-10.96875,-4.75,-0.953125,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846400,-0.66308594,0.070495605,-0.7505493,-5.84375,-13.296875,-3.671875,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846455,-0.6628418,0.06097412,-0.7732544,-0.84375,-6.71875,1.0625,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846478,-0.66503906,0.02923584,-0.7803345,1.1875,-0.9375,0.828125,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846523,-0.6647949,0.08026123,-0.76348877,5.75,5.265625,1.171875,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846569,-0.7355957,0.028259277,-0.9854126,3.703125,13.171875,0.28125,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846602,-0.63964844,0.078063965,-0.7073364,4.015625,22.703125,0.984375,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846657,-0.6516113,0.018737793,-0.5942993,6.578125,7.90625,0.640625,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846680,-0.8498535,0.0021362305,-0.5996704,5.125,2.109375,0.90625,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846725,-0.77368164,-0.02178955,-0.71343994,-12.390625,0.359375,2.5625,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846758,-0.7043457,0.07196045,-0.7493286,-6.765625,-2.59375,0.15625,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846805,-0.7414551,0.042175293,-0.7581177,-3.453125,-0.65625,-0.1875,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846839,-0.7019043,0.007507324,-0.69976807,-1.125,1.484375,0.9375,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846894,-0.7272949,0.02923584,-0.72320557,5.71875,4.515625,1.21875,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846917,-0.717041,0.043395996,-0.75201416,-2.9375,17.359375,-3.078125,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641846972,-0.8232422,-0.043273926,-0.6399536,6.375,7.28125,-3.34375,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641847007,-0.7878418,0.013122559,-0.55841064,0.734375,-0.4375,-0.1875,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641847052,-0.78515625,-0.00030517578,-0.663147,-10.421875,-1.453125,1.3125,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
1695641847074,-0.7529297,0.014831543,-0.70758057,-3.5625,-2.421875,3.390625,Respeck_s1975761_Lying down on left_Coughing_25-09-2023_12-38-06
