timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,notes,recording_id,ind
1695642641290,-0.025390625,0.019958496,-0.99468994,-0.78125,0.78125,0.28125,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,0
1695642641330,-0.028076172,0.01751709,-0.991272,-0.609375,0.71875,0.328125,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,1
1695642641370,-0.022216797,0.02166748,-0.9932251,-1.09375,0.78125,0.078125,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,2
1695642641410,-0.030761719,0.019470215,-0.99664307,-0.15625,-1.953125,-0.015625,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,3
1695642641450,-0.016113281,0.030212402,-1.0010376,6.609375,-11.296875,-1.890625,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,4
1695642641490,0.0034179688,0.027282715,-0.97491455,2.9375,-4.203125,-0.265625,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,5
1695642641530,0.0014648438,0.034362793,-0.99053955,-1.265625,0.921875,0.59375,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,6
1695642641570,0.0043945312,0.031433105,-0.9834595,-1.625,2.6875,0.65625,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,7
1695642641610,-0.0061035156,0.02508545,-0.987854,-2.484375,5.578125,0.78125,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,8
1695642641650,-0.016113281,0.027038574,-0.99224854,-2.65625,5.125,0.640625,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,9
1695642641690,-0.011962891,0.026306152,-0.99591064,-1.640625,3.1875,0.53125,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,10
1695642641730,-0.018798828,0.02508545,-0.98760986,-1.25,2.15625,0.5,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,11
1695642641770,-0.01928711,0.02166748,-0.9915161,-0.734375,-0.234375,0.328125,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,12
1695642641810,-0.02709961,0.032409668,-1.0454712,12.203125,-22.375,-2.265625,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,13
1695642641850,0.05078125,0.014587402,-0.9290161,7.796875,-23.59375,-3.640625,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,14
1695642641890,0.047607422,0.048034668,-0.9866333,-2.421875,0.671875,0.875,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,15
1695642641930,0.056884766,0.04876709,-0.97662354,-1.90625,5.578125,1.90625,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,16
1695642641970,0.037109375,0.050476074,-0.9883423,-4.515625,16.5,2.171875,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,17
1695642642010,0.008056641,0.03387451,-0.9981079,-4.75,14.703125,1.34375,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,18
1695642642050,-0.0061035156,0.032165527,-0.9963989,-4.65625,8.703125,0.9375,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,19
1695642642090,-0.014160156,0.029968262,-0.9885864,-2.03125,3.84375,0.5625,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,20
1695642642130,-0.0087890625,0.027770996,-0.99005127,-1.15625,2.359375,0.359375,Respeck,Lying down on stomach,s1975761,,Respeck_s1975761_Lying down on stomach_25-09-2023_12-51-21,21
