timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,recording_id
1695642094168,-0.46484375,-0.31134033,0.8812866,0.625,1.671875,-0.09375,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094214,-0.45751953,-0.3196411,0.8890991,1.265625,2.46875,-0.234375,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094258,-0.46044922,-0.32208252,0.90179443,0.953125,3.921875,0.28125,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094292,-0.45996094,-0.32086182,0.8937378,0.859375,2.84375,-0.140625,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094337,-0.45874023,-0.33013916,0.88323975,-0.4375,1.6875,-0.625,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094371,-0.4494629,-0.32525635,0.89349365,2.65625,3.53125,-0.28125,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094416,-0.4501953,-0.32696533,0.8878784,-0.734375,4.25,0.546875,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094450,-0.44506836,-0.32037354,0.8925171,-0.359375,2.796875,0.03125,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094496,-0.4411621,-0.3196411,0.8798218,-0.90625,1.46875,-0.078125,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094531,-0.43823242,-0.31134033,0.8847046,-0.796875,0.65625,-0.09375,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094586,-0.4465332,-0.300354,0.8890991,-1.453125,-0.6875,-0.078125,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094607,-0.43530273,-0.29278564,0.85736084,-1.625,-3.203125,-0.4375,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094665,-0.4501953,-0.3267212,0.8895874,2.515625,-0.59375,-0.25,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094687,-0.45629883,-0.33843994,0.9052124,5.359375,2.421875,1.109375,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094755,-0.44360352,-0.3435669,0.8930054,2.84375,1.015625,0.640625,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
1695642094776,-0.453125,-0.33258057,0.8822632,0.625,0.625,0.09375,Respeck_s1975761_Lying down back_Talking_25-09-2023_12-42-14
