timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,recording_id
1695642379570,-0.17211914,-0.98150635,0.17645264,-0.734375,0.90625,0.21875,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642379626,-0.18139648,-0.98028564,0.17523193,-0.546875,0.71875,0.296875,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642379648,-0.18603516,-0.9854126,0.18499756,0.984375,1.140625,0.4375,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642379694,-0.17358398,-1.0061646,0.2296753,5.71875,14.234375,1.546875,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642379739,-0.2397461,-0.97662354,0.18792725,2.9375,5.765625,0.515625,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642379772,-0.16479492,-0.9758911,0.1876831,6.203125,1.984375,1.1875,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642379819,-0.1381836,-0.9627075,0.1395874,10.109375,9.796875,1.359375,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642379852,-0.1809082,-0.9932251,0.14324951,7.953125,8.125,1.1875,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642379907,-0.19091797,-1.003479,0.11956787,3.1875,-1.640625,0.21875,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642379930,-0.1772461,-0.960022,0.09637451,-0.671875,-4.90625,-0.109375,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642379987,-0.052001953,-0.92144775,0.031677246,7.609375,-2.03125,5.671875,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
1695642380009,-0.1809082,-0.9961548,0.07342529,-9.578125,-3.796875,1.1875,Respeck_s1975761_Sitting_Hyperventilating_25-09-2023_12-47-00
