timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,recording_id
1695642200257,-0.6945801,0.057800293,-0.7293091,-4.40625,1.828125,-1.5,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200301,-0.7011719,0.06048584,-0.7341919,-4.59375,-0.28125,-2.390625,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200334,-0.69799805,0.06976318,-0.74102783,-2.6875,-2.578125,-3.140625,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200393,-0.6828613,0.06707764,-0.75201416,0.453125,-4.421875,-3.015625,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200448,-0.68237305,0.07733154,-0.7774048,0.625,-7.3125,-4.140625,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200460,-0.6760254,0.09173584,-0.7546997,-3.5,-5.875,-4.640625,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200503,-0.6220703,0.08343506,-0.755188,0.359375,-10.0,-5.71875,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200537,-0.73291016,0.07244873,-0.736145,-2.921875,-6.40625,-5.0625,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200595,-0.75512695,0.046325684,-0.67755127,-2.578125,-0.859375,-0.890625,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200616,-0.7102051,0.09246826,-0.75494385,1.28125,-7.90625,-0.171875,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200673,-0.63916016,0.08270264,-0.80133057,1.671875,-4.65625,3.53125,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200697,-0.6357422,0.097595215,-0.8430786,1.546875,-0.40625,-0.421875,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200741,-0.66918945,0.09979248,-0.7996216,-0.796875,0.546875,2.34375,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
1695642200775,-0.642334,0.07537842,-0.8062134,0.828125,-1.328125,2.65625,Respeck_s1975761_Lying down on left_Talking_25-09-2023_12-44-01
