timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,subject_id,notes,recording_id
1695641364677,-0.0068359375,0.005859375,-1.0,-0.125,-0.03125,-0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641364717,-0.013671875,-0.0146484375,-1.0146484,0.0,0.0,0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641364757,-0.0107421875,-0.0068359375,-1.0166016,-0.0625,-0.03125,0.125,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641364797,-0.0107421875,-0.0068359375,-1.0175781,-0.125,-0.09375,-0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641364837,-0.0068359375,-0.0029296875,-1.0166016,-0.0625,-0.03125,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641364877,-0.0078125,-0.0068359375,-1.0214844,0.0625,0.0625,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641364917,-0.0078125,-0.0078125,-1.0087891,-0.0625,-0.03125,-0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641364957,-0.0078125,-0.0087890625,-1.0,-0.0625,-0.09375,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641364997,-0.017578125,-0.001953125,-1.0078125,0.0,0.0625,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365037,-0.0009765625,-0.0009765625,-1.0009766,0.0,-0.03125,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365077,-0.0126953125,-0.001953125,-1.0068359,-0.0625,-0.15625,0.0,-56.5625,-24.5625,-262.125,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365117,-0.0087890625,-0.0048828125,-1.0126953,-0.0625,-0.03125,-0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365157,-0.0146484375,-0.0029296875,-1.0009766,-0.0625,-0.09375,0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365197,-0.013671875,-0.013671875,-1.0029297,-0.0625,-0.15625,0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365237,-0.017578125,-0.0029296875,-1.0244141,0.0,0.0,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365277,-0.01171875,-0.0029296875,-1.0166016,-0.125,-0.03125,0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365317,-0.0107421875,0.0029296875,-1.0146484,0.0,0.0,0.125,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365357,-0.016601562,-0.005859375,-1.0097656,-0.0625,-0.09375,0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365397,-0.016601562,-0.009765625,-1.0078125,0.0,0.0,0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365437,-0.001953125,0.005859375,-1.0136719,-0.0625,-0.03125,0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365477,-0.009765625,-0.0048828125,-1.0029297,-0.0625,-0.09375,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365517,-0.018554688,-0.001953125,-1.0175781,0.0,0.0625,-0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365557,-0.005859375,-0.0029296875,-1.0185547,-0.0625,0.0,0.125,-56.125,-23.1875,-261.9375,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365597,-0.005859375,-0.009765625,-1.0185547,0.0,0.0,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365637,-0.0107421875,0.0009765625,-1.0283203,-0.0625,-0.09375,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365677,-0.013671875,-0.0029296875,-1.0146484,-0.0625,-0.03125,0.125,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365717,-0.0078125,0.0009765625,-1.0205078,0.0,0.0625,0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365757,-0.00390625,-0.0107421875,-1.0,0.0,-0.09375,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
1695641365797,-0.015625,-0.0029296875,-1.0039062,-0.125,-0.09375,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,s1975761,,Thingy_s1975761_Lying down on stomach_25-09-2023_12-30-07
