timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,recording_id
1695644165100,-0.95996094,0.13378906,0.19238281,1.25,-14.46875,2.6875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165120,-0.9628906,0.19140625,0.22558594,7.34375,-21.46875,3.15625,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165169,-0.94921875,0.17480469,0.28125,-2.65625,-26.65625,5.5,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165209,-0.9316406,0.15722656,0.3017578,0.8125,-29.71875,5.375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165253,-1.0058594,0.119140625,0.33789062,6.4375,-33.5625,3.84375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165301,-0.8876953,0.12402344,0.3330078,7.15625,-29.90625,-4.21875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165322,-0.8925781,0.16992188,0.359375,10.71875,-21.59375,-5.3125,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165367,-0.8496094,0.15136719,0.32421875,5.9375,-9.8125,-8.1875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165411,-0.8652344,0.12988281,0.41015625,-4.96875,-2.5,-12.6875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165456,-0.87109375,0.16699219,0.3466797,7.53125,-4.5,-15.09375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165478,-0.8515625,0.13964844,0.41503906,11.375,5.3125,-16.53125,-70.9375,10.8125,-173.625,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165525,-0.92578125,0.21972656,0.3623047,-2.0625,19.25,-17.8125,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165568,-0.97265625,0.2548828,0.37402344,11.75,9.40625,-10.625,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165615,-1.0263672,0.12695312,0.4111328,14.875,-5.46875,-8.5,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165638,-0.89941406,0.080078125,0.38476562,-2.46875,-1.46875,-12.6875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165686,-0.8808594,0.08496094,0.19824219,13.625,4.71875,-13.375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165728,-1.015625,0.056640625,0.055664062,20.96875,7.6875,-9.21875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165771,-1.0351562,0.040039062,0.296875,19.75,0.9375,-9.71875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165818,-1.0498047,-0.024414062,0.18261719,10.78125,10.6875,-13.625,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165843,-1.0019531,0.10449219,0.24609375,0.875,13.0,-13.84375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165886,-0.98046875,0.16699219,0.22070312,-12.3125,16.96875,-16.78125,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165928,-0.9394531,0.091796875,0.19238281,-16.875,24.90625,-6.46875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644165974,-0.96191406,0.005859375,0.31445312,-6.3125,17.78125,-2.4375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166020,-0.9746094,-0.044921875,0.15136719,-13.65625,15.28125,-7.875,-69.4375,6.625,-177.625,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166042,-0.98535156,0.038085938,0.17285156,-0.09375,9.21875,-4.8125,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166087,-0.9609375,-0.024414062,0.20996094,-10.03125,4.84375,-3.90625,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166137,-0.9765625,-0.022460938,0.22851562,-6.875,5.5625,-5.8125,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166177,-0.9628906,-0.0029296875,0.18847656,-13.59375,7.53125,-4.21875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166198,-0.9814453,0.0107421875,0.20898438,-9.625,10.375,-2.1875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166244,-0.9794922,-0.022460938,0.15820312,-10.90625,7.625,0.71875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166289,-0.984375,-0.001953125,0.19824219,-8.09375,10.8125,0.84375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166336,-0.9951172,-0.047851562,0.19238281,-12.0,8.3125,4.28125,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166356,-0.9707031,-0.0107421875,0.22753906,-8.53125,10.5,5.625,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166404,-0.9873047,-0.03515625,0.21777344,-14.9375,9.59375,9.46875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166448,-0.9951172,-0.021484375,0.203125,-10.84375,12.34375,12.9375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166492,-0.93652344,0.0087890625,0.16308594,2.09375,5.5625,11.65625,-72.0,6.9375,-179.4375,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166537,-1.0664062,-0.059570312,0.19921875,7.84375,7.40625,3.90625,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166563,-1.0058594,0.1484375,0.026367188,7.59375,1.65625,-0.4375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166605,-1.0058594,0.20800781,-0.068359375,-2.96875,-3.59375,10.375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166651,-1.0634766,0.12695312,0.23535156,-0.09375,-8.34375,7.5625,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166694,-1.109375,0.16113281,0.17578125,-20.53125,-12.375,10.25,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166718,-1.0732422,0.13671875,0.17480469,-30.25,-32.15625,5.625,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166765,-0.88183594,0.03125,0.20410156,-26.40625,-32.21875,2.3125,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166807,-0.9736328,0.076171875,0.15917969,-2.53125,-43.25,14.59375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166856,-0.94921875,0.072265625,0.33984375,12.0625,-47.34375,12.4375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166897,-0.8964844,0.14746094,0.3564453,1.0625,-42.21875,13.84375,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
1695644166922,-0.92871094,0.10839844,0.3623047,17.78125,-37.65625,10.1875,0.0,0.0,0.0,Thingy_s1975761_Shuffle walking_Normal_25-09-2023_13-16-45
