timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,notes,recording_id,ind
1695644660836,-0.14453125,-0.9898071,0.09564209,-2.21875,0.515625,-0.59375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,0
1695644660876,-0.13549805,-0.98931885,0.10321045,-3.140625,0.265625,-0.75,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,1
1695644660916,-0.14990234,-0.99591064,0.10418701,-2.796875,1.609375,-0.265625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,2
1695644660956,-0.14282227,-0.9915161,0.109558105,-2.703125,1.515625,-0.546875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,3
1695644660996,-0.13793945,-0.986145,0.105651855,-1.484375,2.265625,-0.3125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,4
1695644661036,-0.14013672,-0.9866333,0.10882568,0.140625,2.59375,-0.25,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,5
1695644661076,-0.14111328,-0.9805298,0.10443115,0.25,2.625,-0.171875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,6
1695644661116,-0.14038086,-0.9937134,0.105163574,1.125,1.703125,-0.34375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,7
1695644661156,-0.14233398,-0.9968872,0.116882324,1.1875,1.0625,-0.21875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,8
1695644661196,-0.1381836,-0.9973755,0.093933105,-0.21875,1.84375,-0.203125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,9
1695644661236,-0.14355469,-0.9924927,0.097839355,0.1875,0.78125,-0.546875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,10
1695644661276,-0.14648438,-0.99664307,0.10076904,0.859375,2.015625,-0.4375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,11
1695644661316,-0.14892578,-0.98760986,0.10394287,0.8125,1.5,-0.1875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_13-25-01,12
