timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,subject_id,notes,recording_id,ind
1695640941070,-0.9921875,0.06640625,0.099609375,-0.09375,-0.6875,0.0,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,0
1695640941110,-0.9951172,0.06542969,0.08691406,0.0625,-0.5625,-0.0625,-77.375,17.3125,-181.25,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,1
1695640941150,-0.99609375,0.07128906,0.09765625,-0.59375,-0.625,-0.0625,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,2
1695640941190,-0.9921875,0.059570312,0.087890625,-0.96875,-0.5625,0.0625,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,3
1695640941230,-1.0009766,0.060546875,0.095703125,-1.03125,-0.5625,-0.0625,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,4
1695640941270,-1.0029297,0.06542969,0.09082031,-1.28125,-0.75,0.125,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,5
1695640941310,-0.99316406,0.060546875,0.09375,-1.15625,-0.625,0.0,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,6
1695640941350,-0.9970703,0.060546875,0.103515625,-0.71875,-0.625,-0.1875,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,7
1695640941390,-1.0,0.0625,0.08496094,-0.53125,-0.625,0.0,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,8
1695640941430,-0.9980469,0.061523438,0.09472656,-0.15625,-0.6875,0.0625,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,9
1695640941470,-0.9863281,0.0625,0.09375,-0.65625,-0.375,0.0625,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,10
1695640941510,-0.99121094,0.07128906,0.0859375,-0.90625,0.0625,0.125,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,11
1695640941550,-0.9863281,0.068359375,0.10546875,-1.09375,0.125,0.1875,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,12
1695640941590,-0.9873047,0.06542969,0.095703125,-1.3125,0.34375,0.1875,-77.6875,16.25,-180.5,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,13
1695640941630,-0.99121094,0.06542969,0.09375,-1.21875,0.53125,0.1875,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,14
1695640941670,-0.9824219,0.06542969,0.09667969,-0.84375,0.53125,0.65625,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,15
1695640941710,-1.0009766,0.055664062,0.1015625,-0.40625,0.1875,0.40625,0.0,0.0,0.0,Thingy,Standing,s1975761,,Thingy_s1975761_Standing_25-09-2023_12-23-01,16
