timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes
1696246468415,-0.99609375,-0.107421875,-0.034179688,-6.03125,1.40625,-1.3125,-81.75,-24.875,-150.8125,Thingy,Standing,-1,s2091784,
1696246468435,-0.9970703,-0.10546875,-0.0546875,-6.5625,-1.40625,-1.75,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468473,-0.9921875,-0.111328125,-0.056640625,-7.375,-0.0625,-2.0625,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468514,-0.9941406,-0.09863281,-0.07128906,-8.65625,-1.40625,-2.5,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468559,-1.0,-0.099609375,-0.06933594,-6.875,-0.78125,-1.03125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468593,-0.9892578,-0.10058594,-0.064453125,-6.4375,2.03125,0.4375,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468638,-0.9980469,-0.10058594,-0.078125,-7.65625,4.53125,1.125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468683,-0.9951172,-0.09472656,-0.083984375,-7.5,5.9375,3.125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468728,-0.99121094,-0.087890625,-0.08691406,-7.4375,6.53125,6.25,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468750,-0.98828125,-0.09472656,-0.10253906,-9.75,11.46875,7.78125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468795,-0.99902344,-0.09277344,-0.09667969,-12.125,12.5,7.09375,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468841,-0.9873047,-0.08496094,-0.078125,-16.6875,12.34375,5.09375,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468876,-1.0166016,-0.08496094,-0.09863281,-18.34375,4.40625,2.59375,-79.9375,-22.75,-154.5625,Thingy,Standing,-1,s2091784,
1696246468919,-0.98339844,-0.0625,-0.10546875,-13.21875,0.6875,3.875,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468953,-0.9921875,-0.055664062,-0.12792969,-9.375,0.4375,5.5,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246468998,-0.99609375,-0.0625,-0.13378906,-7.3125,5.25,6.25,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469043,-0.98828125,-0.076171875,-0.115234375,-11.5625,8.71875,3.3125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469088,-1.0048828,-0.0625,-0.11621094,-19.21875,5.0,-2.3125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469113,-1.0009766,-0.043945312,-0.10644531,-18.78125,5.4375,-2.125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469155,-1.0039062,-0.06640625,-0.12011719,-15.0625,-2.25,-1.25,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469200,-0.98535156,-0.064453125,-0.12207031,-5.90625,-2.6875,1.0,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469235,-0.99609375,-0.0703125,-0.11035156,-3.15625,-0.90625,0.5625,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469279,-0.9921875,-0.0703125,-0.14453125,-4.6875,-2.375,0.25,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469313,-0.9794922,-0.061523438,-0.12109375,-3.9375,-1.03125,0.0625,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469358,-0.99316406,-0.06542969,-0.12988281,-4.125,0.0625,-0.28125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469403,-0.99121094,-0.05859375,-0.13085938,-4.25,1.96875,-0.53125,-80.875,-20.375,-155.75,Thingy,Standing,-1,s2091784,
1696246469448,-0.9970703,-0.06640625,-0.13476562,-0.28125,3.0,-0.03125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469471,-0.9980469,-0.0625,-0.11425781,-1.375,2.9375,-0.78125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469515,-0.99316406,-0.05859375,-0.13574219,-2.28125,1.34375,-1.25,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469561,-0.98535156,-0.051757812,-0.13183594,0.03125,1.15625,-0.34375,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469594,-0.99609375,-0.061523438,-0.13476562,1.0625,2.03125,0.4375,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469639,-0.99121094,-0.052734375,-0.1171875,1.65625,1.40625,-0.09375,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469673,-0.98535156,-0.06347656,-0.11425781,1.5,-0.90625,-0.15625,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469718,-0.9863281,-0.057617188,-0.14257812,2.65625,-0.84375,-0.03125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469763,-0.9921875,-0.053710938,-0.14648438,2.46875,-0.4375,-0.09375,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469808,-0.9902344,-0.0625,-0.13671875,2.46875,1.21875,0.125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469830,-0.9863281,-0.064453125,-0.12402344,-0.03125,1.34375,-0.59375,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469876,-1.0,-0.06347656,-0.12792969,-0.84375,-1.15625,-0.90625,-81.125,-20.8125,-156.8125,Thingy,Standing,-1,s2091784,
1696246469921,-0.9892578,-0.053710938,-0.14160156,2.40625,-1.84375,-0.21875,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469955,-0.9951172,-0.060546875,-0.13867188,0.8125,-1.34375,-0.53125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246469999,-0.9921875,-0.059570312,-0.14941406,1.25,-0.375,-0.03125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470033,-0.9951172,-0.055664062,-0.13574219,-0.09375,-0.5,-0.15625,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470078,-0.9892578,-0.05859375,-0.14355469,-2.0,-1.09375,-0.71875,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470124,-0.9873047,-0.059570312,-0.14550781,-1.4375,-0.0625,-0.21875,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470168,-0.98535156,-0.055664062,-0.125,-0.34375,1.34375,-0.53125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470190,-0.9873047,-0.061523438,-0.12792969,-2.0,0.71875,-1.15625,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470236,-0.9921875,-0.047851562,-0.12988281,-2.1875,-0.5,-0.15625,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470282,-0.98828125,-0.07421875,-0.12988281,0.6875,-0.5625,1.125,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470315,-0.9921875,-0.0703125,-0.14355469,-1.4375,-0.4375,-0.09375,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470359,-0.9951172,-0.06347656,-0.13574219,-1.875,0.71875,-0.84375,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470393,-0.98828125,-0.0703125,-0.13769531,0.5625,0.96875,1.0625,-81.0,-20.1875,-154.875,Thingy,Standing,-1,s2091784,
1696246470439,-0.9892578,-0.06738281,-0.13867188,-0.15625,0.90625,0.625,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
1696246470484,-0.99316406,-0.072265625,-0.13476562,-1.3125,0.5,-0.46875,0.0,0.0,0.0,Thingy,Standing,-1,s2091784,
