timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
1696242449189,0.52441406,-0.83428955,0.0836792,2.40625,-0.84375,13.734375,Respeck,Ascending stairs,-1,s2091784,
1696242449236,0.6047363,-0.8098755,0.26019287,16.046875,-1.515625,9.53125,Respeck,Ascending stairs,-1,s2091784,
1696242449281,0.5690918,-0.82476807,0.20721436,19.328125,-5.3125,4.484375,Respeck,Ascending stairs,-1,s2091784,
1696242449325,0.3322754,-0.95025635,0.046081543,8.546875,5.65625,4.59375,Respeck,Ascending stairs,-1,s2091784,
1696242449355,0.28710938,-0.923645,-0.0056762695,5.328125,3.234375,11.484375,Respeck,Ascending stairs,-1,s2091784,
1696242449400,0.5456543,-0.86065674,0.11199951,4.234375,-2.78125,12.515625,Respeck,Ascending stairs,-1,s2091784,
1696242449430,0.6677246,-0.86724854,0.14593506,4.265625,-1.171875,6.78125,Respeck,Ascending stairs,-1,s2091784,
1696242449474,0.60961914,-0.9194946,0.038024902,5.234375,3.390625,5.171875,Respeck,Ascending stairs,-1,s2091784,
1696242449519,0.58203125,-1.010315,-0.0025024414,3.46875,-4.375,0.828125,Respeck,Ascending stairs,-1,s2091784,
1696242449550,0.68310547,-1.0859985,0.089782715,4.21875,-4.671875,-2.25,Respeck,Ascending stairs,-1,s2091784,
1696242449594,0.76342773,-1.0117798,0.1071167,4.78125,-1.359375,7.5625,Respeck,Ascending stairs,-1,s2091784,
1696242449639,0.8618164,-0.9273071,0.01751709,4.53125,-11.390625,9.015625,Respeck,Ascending stairs,-1,s2091784,
1696242449670,0.84155273,-0.678772,0.03338623,10.359375,-19.8125,2.5,Respeck,Ascending stairs,-1,s2091784,
1696242449715,0.8208008,-0.5708618,0.05731201,-2.75,-22.828125,10.6875,Respeck,Ascending stairs,-1,s2091784,
1696242449748,0.7998047,-0.802063,0.11810303,-0.59375,-20.859375,13.890625,Respeck,Ascending stairs,-1,s2091784,
1696242449789,0.6982422,-0.94122314,0.1954956,10.59375,-14.59375,3.78125,Respeck,Ascending stairs,-1,s2091784,
1696242449834,0.56347656,-0.8152466,0.1642456,1.40625,-13.46875,-6.578125,Respeck,Ascending stairs,-1,s2091784,
1696242449864,0.4724121,-0.6567993,0.07904053,0.875,-5.515625,-12.4375,Respeck,Ascending stairs,-1,s2091784,
1696242449910,0.37695312,-0.41070557,0.05267334,-12.625,-8.625,-1.921875,Respeck,Ascending stairs,-1,s2091784,
1696242449954,0.3623047,-0.3435669,0.07318115,0.5625,-9.171875,8.671875,Respeck,Ascending stairs,-1,s2091784,
1696242449984,0.4909668,-0.47857666,0.1005249,1.671875,-9.921875,6.234375,Respeck,Ascending stairs,-1,s2091784,
1696242450030,0.6328125,-0.6331177,0.18377686,-2.796875,-19.46875,-4.0625,Respeck,Ascending stairs,-1,s2091784,
1696242450074,0.6472168,-0.7661743,0.2855835,4.46875,-11.390625,-8.8125,Respeck,Ascending stairs,-1,s2091784,
1696242450104,0.52490234,-0.831604,0.2164917,2.953125,-4.078125,-9.515625,Respeck,Ascending stairs,-1,s2091784,
1696242450149,0.42358398,-0.7859497,0.1449585,1.03125,-2.90625,-8.421875,Respeck,Ascending stairs,-1,s2091784,
1696242450194,0.50268555,-0.77130127,0.19573975,-3.296875,-4.390625,-5.21875,Respeck,Ascending stairs,-1,s2091784,
1696242450224,0.53466797,-0.7522583,0.33416748,-1.1875,2.1875,-0.90625,Respeck,Ascending stairs,-1,s2091784,
1696242450270,0.5185547,-0.7984009,0.23797607,3.109375,2.640625,-0.484375,Respeck,Ascending stairs,-1,s2091784,
1696242450314,0.48657227,-0.8010864,0.22918701,-1.828125,-0.046875,-6.703125,Respeck,Ascending stairs,-1,s2091784,
1696242450344,0.4321289,-0.7698364,0.27435303,-0.03125,5.796875,-6.0625,Respeck,Ascending stairs,-1,s2091784,
1696242450390,0.38793945,-0.75177,0.22625732,3.359375,15.484375,1.734375,Respeck,Ascending stairs,-1,s2091784,
1696242450434,0.7080078,-1.0166626,0.11273193,7.9375,7.09375,7.671875,Respeck,Ascending stairs,-1,s2091784,
1696242450470,0.66064453,-0.9373169,0.17303467,-22.90625,6.25,-3.71875,Respeck,Ascending stairs,-1,s2091784,
1696242450509,0.3466797,-0.70391846,0.14300537,-11.96875,26.515625,-9.25,Respeck,Ascending stairs,-1,s2091784,
1696242450542,0.42407227,-0.7131958,0.15789795,-2.046875,22.546875,1.8125,Respeck,Ascending stairs,-1,s2091784,
1696242450584,0.7080078,-0.78863525,0.2111206,-13.8125,3.359375,6.453125,Respeck,Ascending stairs,-1,s2091784,
1696242450630,0.82055664,-0.82891846,0.22406006,12.921875,2.859375,1.8125,Respeck,Ascending stairs,-1,s2091784,
1696242450659,0.7050781,-0.84088135,0.09613037,19.1875,5.6875,2.546875,Respeck,Ascending stairs,-1,s2091784,
1696242450704,0.5007324,-0.8352661,0.120788574,-2.140625,-2.453125,4.34375,Respeck,Ascending stairs,-1,s2091784,
1696242450750,0.48608398,-0.9505005,0.15667725,0.3125,-3.640625,5.859375,Respeck,Ascending stairs,-1,s2091784,
1696242450779,0.52368164,-1.0122681,0.14178467,-0.78125,6.9375,8.234375,Respeck,Ascending stairs,-1,s2091784,
1696242450824,0.7939453,-0.91607666,0.12591553,-7.6875,3.734375,5.09375,Respeck,Ascending stairs,-1,s2091784,
1696242450869,1.0144043,-0.8826294,0.27947998,-0.890625,0.078125,-6.703125,Respeck,Ascending stairs,-1,s2091784,
1696242450911,0.78222656,-0.9258423,0.17547607,-7.171875,0.28125,-9.359375,Respeck,Ascending stairs,-1,s2091784,
1696242450944,0.6010742,-0.90948486,0.0021362305,-7.140625,0.359375,-8.75,Respeck,Ascending stairs,-1,s2091784,
1696242450990,0.5476074,-0.80474854,0.047302246,-0.5,0.796875,-7.59375,Respeck,Ascending stairs,-1,s2091784,
1696242451020,0.5432129,-0.7005005,-0.016174316,-5.359375,2.53125,-2.0625,Respeck,Ascending stairs,-1,s2091784,
1696242451065,0.6513672,-0.79473877,-0.02154541,-6.765625,4.3125,-9.0625,Respeck,Ascending stairs,-1,s2091784,
1696242451111,0.6320801,-0.90875244,0.12908936,-0.671875,5.671875,-14.796875,Respeck,Ascending stairs,-1,s2091784,
