timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes
1696246247367,-0.083984375,-0.051757812,-1.0029297,-0.15625,-0.125,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247411,-0.08105469,-0.057617188,-0.9921875,-0.03125,-0.0625,-0.03125,-42.0,-29.0625,-165.5,Thingy,Lying down on stomach,-1,s2091784,
1696246247456,-0.08203125,-0.053710938,-1.0078125,-0.15625,-0.1875,0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247478,-0.08496094,-0.049804688,-1.0107422,-0.03125,0.0,0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247523,-0.08203125,-0.057617188,-1.0058594,-0.09375,0.0,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247560,-0.087890625,-0.059570312,-1.0097656,-0.09375,0.0,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247603,-0.087890625,-0.06542969,-1.0107422,0.03125,0.0,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247637,-0.0859375,-0.055664062,-0.99609375,-0.03125,-0.0625,0.15625,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247681,-0.08691406,-0.05078125,-1.0,-0.15625,-0.1875,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247727,-0.078125,-0.052734375,-1.0146484,-0.09375,-0.3125,0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247771,-0.087890625,-0.053710938,-0.9970703,-0.21875,-0.3125,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247816,-0.08984375,-0.046875,-0.9941406,-0.15625,-0.25,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247838,-0.0859375,-0.06542969,-1.0058594,-0.15625,0.0625,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247883,-0.09082031,-0.051757812,-1.0126953,0.09375,0.0,0.09375,-40.8125,-29.5,-163.875,Thingy,Lying down on stomach,-1,s2091784,
1696246247917,-0.076171875,-0.053710938,-1.0087891,0.09375,-0.0625,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247963,-0.08984375,-0.06347656,-1.0058594,-0.15625,-0.125,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
1696246247996,-0.08300781,-0.055664062,-0.9970703,-0.15625,-0.25,0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,-1,s2091784,
