,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
55,1695735039105,-0.9902344,-0.13867188,-0.048828125,-0.03125,0.15625,-0.21875,0.0,0.0,0.0
56,1695735039145,-0.99902344,-0.14257812,-0.06738281,-0.09375,-0.40625,-0.21875,0.0,0.0,0.0
57,1695735039185,-0.9873047,-0.1328125,-0.061523438,0.3125,-0.40625,0.03125,0.0,0.0,0.0
58,1695735039225,-0.98339844,-0.140625,-0.06542969,0.03125,-0.53125,-0.03125,0.0,0.0,0.0
59,1695735039265,-0.984375,-0.14746094,-0.046875,0.21875,-0.34375,-0.03125,-32.8125,2.1875,-28.3125
60,1695735039305,-0.9951172,-0.1484375,-0.052734375,0.375,-0.75,0.15625,0.0,0.0,0.0
61,1695735039345,-0.9873047,-0.140625,-0.06640625,0.375,-0.34375,0.09375,0.0,0.0,0.0
62,1695735039388,-0.9921875,-0.14453125,-0.059570312,1.125,-0.6875,0.09375,0.0,0.0,0.0
63,1695735039426,-0.98535156,-0.14550781,-0.049804688,0.6875,-0.8125,0.40625,0.0,0.0,0.0
64,1695735039467,-0.9980469,-0.14648438,-0.055664062,0.375,-0.625,0.28125,0.0,0.0,0.0
65,1695735039526,-0.99121094,-0.14941406,-0.043945312,-0.09375,-1.125,-0.03125,0.0,0.0,0.0
66,1695735039545,-0.9873047,-0.13476562,-0.05078125,0.03125,-0.8125,0.28125,0.0,0.0,0.0
67,1695735039606,-0.9892578,-0.140625,-0.048828125,1.125,-0.6875,0.40625,0.0,0.0,0.0
68,1695735039625,-0.9873047,-0.140625,-0.040039062,0.75,-0.75,0.09375,0.0,0.0,0.0
69,1695735039665,-0.9873047,-0.14257812,-0.053710938,-0.34375,-1.5,0.09375,0.0,0.0,0.0
70,1695735039705,-0.9863281,-0.13769531,-0.053710938,0.25,-1.1875,0.40625,0.0,0.0,0.0
71,1695735039745,-0.98828125,-0.13769531,-0.048828125,-0.21875,-0.8125,0.34375,0.0,0.0,0.0
