,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,0.09790039,-0.9365845,0.19818115,0.59375,-25.046875,3.375
1,1697606005,0.07397461,-1.0059204,0.23480225,-0.203125,-20.5,-2.078125
2,1697606045,0.076416016,-1.0098267,0.27313232,-4.125,-6.8125,-1.53125
3,1697606085,0.06323242,-1.0523071,0.25823975,-4.03125,-1.0,-0.703125
4,1697606125,0.034423828,-1.0669556,0.37445068,-5.078125,12.625,-3.65625
5,1697606165,0.009277344,-0.99298096,0.27020264,-4.8125,24.765625,-2.3125
6,1697606205,0.064697266,-0.95440674,0.28631592,-2.015625,26.875,-3.15625
7,1697606245,0.033203125,-0.9414673,0.21478271,-0.328125,11.734375,-1.90625
8,1697606285,0.08959961,-0.8960571,0.18011475,1.546875,9.953125,-0.34375
9,1697606325,0.064453125,-0.9290161,0.20770264,5.296875,2.203125,0.453125
10,1697606365,0.09082031,-0.9570923,0.18084717,3.53125,-4.046875,-0.84375
11,1697606405,0.104003906,-0.9221802,0.15765381,4.9375,-7.65625,0.375
12,1697606445,0.088378906,-0.91119385,0.21746826,3.8125,-16.0,3.65625
13,1697606485,0.07324219,-1.0151978,0.22454834,1.015625,-20.71875,-0.53125
14,1697606525,0.057128906,-1.0281372,0.24993896,-4.078125,-3.90625,-2.5625
15,1697606565,0.02734375,-1.0454712,0.23309326,-5.625,2.640625,-0.390625
16,1697606605,0.0087890625,-1.0635376,0.36834717,-5.84375,14.078125,-3.09375
17,1697606645,0.02734375,-1.0066528,0.25872803,-9.484375,25.03125,-4.296875
18,1697606685,0.03125,-0.9793091,0.28900146,-5.3125,26.125,-5.34375
19,1697606725,0.045166016,-0.9209595,0.22747803,-3.171875,15.796875,-3.828125
20,1697606765,0.057373047,-0.9104614,0.19818115,0.78125,14.734375,0.21875
21,1697606805,0.07714844,-0.9182739,0.19378662,5.234375,7.9375,1.65625
22,1697606845,0.10107422,-0.927063,0.1749878,6.703125,-0.34375,1.53125
23,1697606885,0.09326172,-0.94073486,0.21160889,8.796875,-5.109375,3.4375
24,1697606925,0.08154297,-0.960022,0.21038818,1.671875,-21.09375,3.609375
25,1697606965,0.068847656,-1.0100708,0.23114014,-0.296875,-18.328125,-0.921875
26,1697607005,0.05493164,-1.0339966,0.21820068,-5.5,-2.015625,-2.265625
27,1697607045,0.056152344,-1.0916138,0.29071045,-7.40625,7.375,-3.578125
28,1697607085,0.030029297,-1.0022583,0.28070068,-9.578125,13.671875,-2.046875
29,1697607125,0.012939453,-0.95562744,0.29852295,-5.5625,20.671875,0.34375
30,1697607165,0.013427734,-0.9885864,0.27191162,-0.9375,9.15625,-0.203125
31,1697607205,0.0871582,-0.9360962,0.23162842,-2.71875,6.640625,0.09375
32,1697607245,0.08862305,-0.8814087,0.21966553,0.5625,7.203125,1.5
33,1697607285,0.10131836,-0.9121704,0.18914795,5.125,1.90625,1.796875
34,1697607325,0.083984375,-0.9302368,0.17962646,10.484375,-3.484375,2.609375
35,1697607365,0.06518555,-0.9434204,0.20184326,10.078125,-6.875,2.484375
36,1697607405,0.052490234,-0.89019775,0.18890381,4.640625,-30.21875,4.171875
37,1697607445,0.072021484,-1.0303345,0.2543335,3.140625,-35.8125,-0.71875
38,1697607485,0.06640625,-1.0383911,0.21966553,-4.109375,-7.78125,-2.5
39,1697607525,0.018554688,-1.1192017,0.2897339,-4.578125,5.625,-1.5625
40,1697607565,0.030029297,-1.0315552,0.26116943,-6.515625,16.765625,-2.625
41,1697607605,0.020751953,-0.97198486,0.29974365,-0.578125,29.09375,3.21875
42,1697607645,0.02709961,-0.9690552,0.199646,1.234375,15.28125,0.34375
43,1697607685,0.080566406,-0.90826416,0.18670654,1.125,9.828125,1.625
44,1697607725,0.08569336,-0.9155884,0.1618042,2.25,2.984375,2.203125
45,1697607765,0.0859375,-0.92803955,0.14178467,7.65625,-2.046875,2.9375
46,1697607805,0.10180664,-0.9307251,0.1720581,9.625,-4.265625,2.78125
47,1697607845,0.071777344,-0.91119385,0.17108154,1.640625,-24.40625,3.890625
48,1697607885,0.064208984,-0.99835205,0.22039795,3.03125,-37.421875,-0.5
49,1697607925,0.0925293,-1.0291138,0.19720459,-6.796875,-11.375,-3.984375
50,1697607965,0.057617188,-1.0806274,0.22650146,-3.609375,0.96875,-3.5
51,1697608005,0.043701172,-1.1211548,0.35003662,-4.1875,16.859375,-2.59375
52,1697608045,0.052734375,-0.9470825,0.23529053,-6.3125,27.21875,-0.546875
53,1697608085,-0.0026855469,-0.987854,0.23773193,0.9375,23.59375,1.578125
54,1697608125,0.07055664,-0.9343872,0.19940186,-0.125,11.59375,-2.421875
55,1697608165,0.080322266,-0.9314575,0.1798706,-0.484375,8.15625,2.375
56,1697608205,0.08129883,-0.9072876,0.16204834,2.59375,-1.96875,3.140625
57,1697608245,0.09667969,-0.911438,0.15057373,5.921875,-7.1875,2.328125
58,1697608285,0.10888672,-0.88604736,0.16815186,2.578125,-16.3125,3.4375
59,1697608325,0.029541016,-1.0093384,0.22357178,4.1875,-39.40625,3.03125
60,1697608365,0.091796875,-0.9956665,0.19281006,-5.125,-13.046875,-3.5625
61,1697608405,0.064208984,-1.0598755,0.20697021,-3.65625,-0.671875,-2.40625
62,1697608445,0.08569336,-1.0864868,0.30682373,-3.34375,11.9375,-2.359375
63,1697608485,0.05419922,-0.9685669,0.2597046,-6.6875,18.5,-2.375
64,1697608525,0.0014648438,-0.9729614,0.23040771,-0.4375,22.546875,0.9375
65,1697608565,0.037841797,-0.98150635,0.23822021,1.96875,8.953125,-1.484375
66,1697608605,0.06738281,-0.9194946,0.19036865,-4.3125,9.53125,1.484375
67,1697608645,0.08178711,-0.9246216,0.19793701,1.96875,1.546875,2.609375
68,1697608685,0.11621094,-0.90704346,0.16204834,5.171875,-6.6875,2.4375
69,1697608725,0.103759766,-0.90802,0.1552124,5.828125,-6.609375,3.171875
70,1697608765,0.03881836,-0.9182739,0.20770264,4.5,-25.21875,6.859375
71,1697608805,0.09472656,-1.0234985,0.21575928,-1.296875,-27.46875,-2.921875
72,1697608845,0.068359375,-1.0252075,0.23016357,-3.421875,-4.140625,-1.109375
73,1697608885,0.07421875,-1.107727,0.23529053,-3.140625,5.125,-2.21875
74,1697608925,0.06518555,-1.081604,0.31536865,-4.765625,20.21875,-2.046875
75,1697608965,0.032958984,-0.9277954,0.22235107,-2.421875,23.234375,0.640625
76,1697609005,0.020507812,-0.9951782,0.22528076,1.21875,11.703125,-1.421875
77,1697609045,0.07910156,-0.93756104,0.21234131,-0.15625,3.8125,-0.625
78,1697609085,0.083740234,-0.9187622,0.1552124,1.421875,2.625,2.09375
79,1697609125,0.107666016,-0.91290283,0.15716553,7.484375,0.25,1.734375
80,1697609165,0.12060547,-0.92681885,0.13616943,8.265625,-3.65625,1.453125
81,1697609205,0.038330078,-0.91656494,0.19818115,5.4375,-16.34375,5.515625
82,1697609245,0.060791016,-1.0254517,0.18670654,0.375,-22.125,-2.09375
83,1697609285,0.10083008,-0.9873657,0.20111084,-3.984375,-0.46875,-3.6875
84,1697609325,0.08251953,-1.0916138,0.21746826,1.0,3.8125,-2.921875
85,1697609365,0.10888672,-1.0696411,0.2789917,-3.78125,15.203125,-2.75
86,1697609405,-0.0043945312,-1.006897,0.19696045,-7.265625,18.46875,-2.4375
87,1697609445,-0.020751953,-0.9924927,0.22869873,-4.359375,17.6875,-3.765625
88,1697609485,0.08618164,-0.92681885,0.17474365,-4.59375,10.875,-3.1875
89,1697609525,0.09814453,-0.9067993,0.16741943,0.71875,11.25,2.5625
90,1697609565,0.083984375,-0.9246216,0.1383667,6.75,4.953125,2.890625
91,1697609605,0.056152344,-0.91778564,0.11419678,9.25,0.96875,2.90625
92,1697609645,0.083740234,-0.89849854,0.18133545,3.28125,-6.0,3.875
93,1697609685,0.055664062,-0.98687744,0.15203857,2.953125,-28.90625,1.828125
94,1697609725,0.103027344,-0.9890747,0.21307373,-2.109375,-9.984375,-2.953125
95,1697609765,0.10180664,-1.0925903,0.19354248,-0.5,-0.625,-2.078125
96,1697609805,0.09643555,-1.1099243,0.260437,-4.03125,9.890625,-1.4375
97,1697609845,-0.0056152344,-1.0169067,0.23651123,-5.203125,15.171875,0.6875
98,1697609885,-0.005126953,-0.9800415,0.18206787,-4.5625,13.40625,1.296875
99,1697609925,0.087402344,-0.9505005,0.20233154,-3.625,4.96875,-0.875
100,1697609965,0.107666016,-0.94244385,0.1473999,-2.71875,4.5,2.0
101,1697610005,0.06616211,-0.87091064,0.1449585,1.953125,2.453125,3.453125
102,1697610045,0.08886719,-0.91900635,0.11029053,8.78125,-0.078125,3.109375
103,1697610085,0.10571289,-0.9299927,0.18060303,5.59375,-3.78125,3.578125
104,1697610125,0.05126953,-0.96051025,0.15325928,1.109375,-27.6875,3.984375
105,1697610165,0.08251953,-0.97979736,0.16864014,-0.90625,-22.46875,-2.6875
106,1697610205,0.07104492,-1.0379028,0.20843506,-0.03125,-5.609375,-1.390625
107,1697610245,0.096191406,-1.1160278,0.23162842,-2.1875,3.578125,-2.875
108,1697610285,0.06933594,-1.102356,0.2658081,-5.0625,13.140625,-1.84375
109,1697610325,-0.0034179688,-0.98687744,0.22259521,-1.890625,17.625,0.390625
110,1697610365,0.021972656,-1.0132446,0.19818115,-0.390625,11.421875,-3.4375
111,1697610405,0.0690918,-0.8867798,0.17572021,-2.65625,3.953125,-1.265625
112,1697610445,0.091552734,-0.8616333,0.086120605,3.578125,1.90625,2.59375
113,1697610485,0.0925293,-0.9072876,0.10003662,11.3125,-0.890625,3.984375
114,1697610525,0.0847168,-0.9429321,0.16107178,10.328125,-0.34375,4.25
115,1697610565,0.048583984,-0.9714966,0.1708374,2.421875,-20.921875,4.59375
116,1697610605,0.06982422,-1.0025024,0.1593628,-1.078125,-26.046875,-2.96875
117,1697610645,0.07373047,-1.03302,0.19110107,-0.015625,-6.578125,-1.03125
118,1697610685,0.09301758,-1.1345825,0.19647217,-1.890625,1.859375,-2.125
119,1697610725,0.049804688,-1.0686646,0.21453857,-5.390625,14.34375,-1.296875
120,1697610765,0.038330078,-0.97662354,0.20281982,-0.390625,27.265625,0.125
121,1697610805,0.052001953,-1.0108032,0.16229248,0.765625,17.59375,-0.140625
122,1697610845,0.06225586,-0.92681885,0.12567139,-2.6875,10.109375,0.1875
123,1697610885,0.052490234,-0.88482666,0.08734131,-1.484375,5.78125,0.9375
124,1697610925,0.08105469,-0.87750244,0.0692749,4.25,-2.3125,3.484375
125,1697610965,0.0793457,-0.9668579,0.1449585,8.078125,-6.484375,2.671875
126,1697611005,0.10058594,-0.90289307,0.1239624,-0.234375,-19.109375,3.25
127,1697611045,0.05078125,-0.9949341,0.14227295,-1.15625,-34.90625,0.265625
128,1697611085,0.09326172,-0.99468994,0.1852417,-0.921875,-12.96875,-1.734375
129,1697611125,0.075683594,-1.1089478,0.16253662,-0.40625,-2.6875,0.15625
130,1697611165,0.06738281,-1.098938,0.2111206,-4.4375,9.859375,-2.328125
131,1697611205,0.033203125,-1.0215454,0.2086792,-3.625,15.984375,-2.234375
132,1697611245,0.036376953,-1.0049438,0.19281006,-1.640625,26.203125,-0.25
133,1697611285,0.06933594,-0.958313,0.14398193,-2.703125,12.78125,-0.921875
134,1697611325,0.106933594,-0.89141846,0.0848999,-0.6875,9.71875,1.015625
135,1697611365,0.08862305,-0.8765259,0.09515381,5.578125,0.90625,3.578125
136,1697611405,0.08642578,-0.9692993,0.117370605,6.90625,-8.1875,1.921875
137,1697611445,0.09814453,-0.9336548,0.11566162,2.578125,-13.21875,0.984375
138,1697611485,0.06298828,-0.9558716,0.1408081,-1.109375,-35.140625,2.875
139,1697611525,0.060302734,-1.0288696,0.16741943,-4.546875,-26.296875,-3.53125
140,1697611565,0.0847168,-1.0403442,0.1642456,-3.609375,-6.71875,-0.671875
141,1697611605,0.08886719,-1.1069946,0.21697998,-5.234375,1.765625,-3.578125
142,1697611645,0.056640625,-1.0862427,0.21966553,-5.109375,12.8125,-1.03125
143,1697611685,0.0031738281,-1.0003052,0.20916748,-4.453125,21.40625,1.515625
144,1697611725,0.03540039,-1.0247192,0.19134521,-5.40625,15.6875,-1.515625
145,1697611765,0.099365234,-0.90093994,0.116882324,-8.40625,5.0625,1.46875
146,1697611805,0.111083984,-0.85772705,0.105407715,1.21875,0.453125,4.875
147,1697611845,0.087890625,-0.9517212,0.14422607,6.234375,-7.546875,5.453125
148,1697611885,0.07470703,-0.928772,0.19451904,4.296875,-13.5625,5.171875
149,1697611925,0.072753906,-0.93170166,0.15325928,-2.109375,-34.765625,4.59375
150,1697611965,0.076171875,-0.9907837,0.18109131,-3.34375,-30.484375,-1.6875
151,1697612005,0.0871582,-1.0256958,0.20941162,-3.34375,-10.75,-0.296875
152,1697612045,0.06225586,-1.1072388,0.26556396,-2.359375,2.734375,-0.390625
153,1697612085,0.064208984,-1.041565,0.23699951,-5.65625,13.046875,-0.171875
154,1697612125,0.044677734,-0.9536743,0.22381592,-0.390625,18.84375,2.390625
155,1697612165,0.037841797,-0.9800415,0.21160889,-1.265625,10.640625,0.296875
156,1697612205,0.050048828,-0.93951416,0.15252686,-2.0,6.359375,-0.4375
157,1697612245,0.0793457,-0.90411377,0.16400146,2.25,-0.046875,1.75
158,1697612285,0.09350586,-0.93829346,0.15008545,6.25,-4.671875,3.140625
159,1697612325,0.09838867,-0.92633057,0.18377686,5.46875,-10.4375,2.328125
160,1697612365,0.07470703,-0.93536377,0.17401123,0.921875,-31.53125,1.265625
161,1697612405,0.05444336,-0.9949341,0.2086792,1.78125,-26.765625,-1.71875
162,1697612445,0.0769043,-1.0249634,0.19207764,-3.84375,-6.296875,-4.296875
163,1697612485,0.05883789,-1.0767212,0.20111084,-3.046875,3.46875,-4.296875
164,1697612525,0.060058594,-1.098938,0.30804443,-0.671875,14.828125,-2.28125
165,1697612565,0.040527344,-0.973938,0.22259521,-1.515625,22.4375,-0.421875
166,1697612605,0.016357422,-0.99346924,0.16595459,-3.515625,24.609375,0.65625
167,1697612645,0.048339844,-0.95880127,0.1749878,-0.953125,10.328125,-1.765625
168,1697612685,0.0925293,-0.92510986,0.15081787,-2.765625,9.265625,-0.140625
169,1697612725,0.09082031,-0.88897705,0.1239624,1.859375,1.515625,3.203125
170,1697612765,0.07739258,-0.94537354,0.1696167,9.765625,-6.359375,1.09375
171,1697612805,0.08862305,-0.9590454,0.14447021,5.078125,-15.1875,1.109375
172,1697612845,0.071777344,-0.90631104,0.16278076,1.203125,-29.15625,2.921875
173,1697612885,0.01586914,-1.0274048,0.18426514,0.203125,-23.359375,-1.171875
174,1697612925,0.08520508,-1.0269165,0.20306396,-1.484375,-6.359375,-2.5
175,1697612965,0.0793457,-1.081604,0.2111206,-1.421875,2.625,-1.265625
176,1697613005,0.048828125,-1.078186,0.25286865,-5.015625,13.265625,-1.671875
177,1697613045,-0.0031738281,-0.9639282,0.2098999,-4.09375,18.296875,-1.71875
178,1697613085,0.022460938,-0.9939575,0.2086792,-3.703125,19.53125,-1.375
179,1697613125,0.067871094,-0.9651489,0.2020874,-4.75,7.453125,-0.84375
180,1697613165,0.076171875,-0.90826416,0.15740967,-3.28125,6.0,2.0
181,1697613205,0.07470703,-0.9024048,0.14691162,3.390625,2.359375,3.90625
182,1697613245,0.07080078,-0.942688,0.13812256,6.578125,-4.234375,3.359375
183,1697613285,0.080322266,-0.9421997,0.1918335,4.828125,-10.234375,4.1875
184,1697613325,0.030761719,-0.9512329,0.16400146,1.078125,-25.734375,3.203125
185,1697613365,0.07543945,-1.0044556,0.2230835,1.84375,-16.625,-1.5625
186,1697613405,0.05834961,-1.0689087,0.19012451,-1.625,-1.984375,-1.5
187,1697613445,0.064697266,-1.0759888,0.23529053,-2.015625,9.796875,-1.078125
188,1697613485,0.048583984,-0.9968872,0.19525146,-3.875,14.390625,-0.578125
189,1697613525,0.021728516,-0.9771118,0.21453857,0.453125,21.359375,0.953125
190,1697613565,0.047851562,-1.005188,0.18499756,-0.53125,14.421875,-0.96875
191,1697613605,0.088134766,-0.9421997,0.14984131,-2.515625,10.3125,1.09375
192,1697613645,0.083984375,-0.8994751,0.13104248,2.109375,3.453125,1.90625
193,1697613685,0.08154297,-0.9282837,0.12957764,6.46875,-6.078125,2.015625
194,1697613725,0.08203125,-0.94244385,0.13201904,5.234375,-13.9375,0.640625
195,1697613765,0.07543945,-0.9102173,0.15203857,1.234375,-23.703125,2.578125
196,1697613805,0.06298828,-1.0159302,0.1774292,0.921875,-25.28125,-0.59375
197,1697613845,0.075683594,-1.0237427,0.18304443,-2.671875,-6.3125,-2.75
