timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,recording_id
1695300574438,-0.44262695,-0.21295166,0.98114014,1.109375,0.984375,-0.328125,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574478,-0.43969727,-0.21295166,0.96917725,0.359375,-0.21875,-0.828125,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574518,-0.44726562,-0.21929932,0.9760132,0.515625,-0.09375,-0.5,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574558,-0.4411621,-0.21783447,0.96429443,-1.40625,0.03125,-0.078125,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574598,-0.44580078,-0.21246338,0.9682007,-0.890625,1.46875,-0.1875,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574638,-0.45092773,-0.22393799,0.95843506,-3.09375,-2.40625,0.0625,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574678,-0.4375,-0.20977783,0.9784546,-0.890625,1.828125,-0.140625,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574718,-0.44555664,-0.21270752,0.9750366,-1.40625,1.578125,0.3125,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574758,-0.4404297,-0.21783447,0.9755249,-0.453125,-0.21875,-0.25,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574798,-0.4387207,-0.21173096,0.96990967,-1.046875,1.125,0.03125,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574838,-0.4423828,-0.22296143,0.9735718,-0.5,0.796875,-0.015625,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574878,-0.4416504,-0.21539307,0.9755249,0.125,0.453125,-0.140625,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574918,-0.43945312,-0.22467041,0.97650146,-0.34375,0.09375,-0.1875,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574958,-0.4345703,-0.21685791,0.9755249,-0.515625,0.484375,-0.234375,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300574998,-0.44311523,-0.21295166,0.9772339,-0.390625,0.390625,-0.234375,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300575038,-0.4350586,-0.21368408,0.96990967,-0.25,0.953125,-0.203125,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300575078,-0.43969727,-0.22076416,0.9723511,-0.53125,0.109375,-0.328125,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300575118,-0.43481445,-0.22027588,0.9755249,-0.953125,0.234375,-0.171875,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
1695300575158,-0.43432617,-0.21783447,0.9701538,-0.5625,0.265625,-0.25,Respeck,Lying down back,s2016022,Respeck_s2016022_Lying_down_back_Normal_unprocessed_21-09-2023_13-50-11
