timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,recording_id
1695905327995,0.55737305,-1.003479,-0.55303955,2.703125,4.703125,10.234375,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328035,0.1953125,-1.3589478,-0.57159424,3.453125,26.015625,-1.375,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328075,0.46289062,-0.56378174,-0.5396118,-1.734375,21.578125,8.296875,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328115,0.10522461,-0.58258057,-0.5484009,-5.6875,15.453125,1.765625,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328155,0.111083984,-1.1101685,-0.51446533,-4.5,15.1875,-11.859375,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328195,0.3395996,-0.8154907,-0.4368286,-9.390625,10.859375,1.3125,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328235,0.032470703,-0.7185669,-0.35968018,-11.09375,8.609375,-1.859375,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328275,0.16308594,-0.69610596,-0.35211182,-4.546875,10.96875,-1.3125,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328315,0.17382812,-0.6177368,-0.30010986,2.75,8.09375,2.875,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328355,0.11328125,-0.73443604,-0.2805786,-0.640625,7.71875,2.921875,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328395,0.06347656,-0.8057251,-0.32281494,-2.84375,8.296875,4.03125,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328435,0.09106445,-0.8464966,-0.37921143,-1.75,3.90625,4.140625,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328475,0.18164062,-1.003479,-0.4204712,-3.328125,-6.5625,5.296875,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328515,0.19116211,-1.0838013,-0.41949463,-4.78125,-7.28125,1.078125,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328555,0.1315918,-1.0166626,-0.30645752,-5.96875,-10.59375,1.578125,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328595,0.08984375,-0.8916626,-0.50567627,-6.234375,-13.5625,1.875,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328635,0.75927734,-1.0117798,-0.644104,12.796875,-19.25,5.53125,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328675,0.32299805,-0.8167114,-0.3711548,1.203125,-11.265625,-4.15625,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328715,0.3864746,-0.8887329,-0.41192627,-3.40625,-15.6875,1.4375,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328755,0.45385742,-0.833313,-0.3164673,-13.28125,-12.625,-3.359375,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328795,0.22924805,-0.89068604,-0.27667236,-8.28125,-6.375,-3.421875,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
1695905328835,0.32666016,-0.7564087,-0.30670166,-3.234375,-7.015625,-3.671875,Respeck,Ascending stairs,s2016022,Respeck_s2016022_Ascending stairs_Normal_28-09-2023_13-50-55
