timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,recording_id
1695300628212,-0.95336914,-0.16168213,-0.32476807,-0.796875,-0.578125,-0.28125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628252,-0.9538574,-0.14605713,-0.33258057,-0.796875,-0.171875,-0.109375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628292,-0.94555664,-0.1506958,-0.33428955,-0.296875,-0.5,-0.28125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628332,-0.94677734,-0.1482544,-0.32476807,-0.28125,0.21875,-0.375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628372,-0.94091797,-0.15167236,-0.32940674,-0.390625,-0.390625,-0.09375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628412,-0.9560547,-0.15533447,-0.32647705,-1.125,-0.84375,-0.578125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628452,-0.9448242,-0.16070557,-0.3406372,-0.84375,-0.6875,-0.25,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628492,-0.96191406,-0.15435791,-0.3274536,0.046875,-0.25,-0.421875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628532,-0.9470215,-0.14459229,-0.33428955,0.59375,-0.3125,-0.171875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628572,-0.9433594,-0.14801025,-0.34649658,0.0625,-0.421875,-0.15625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628612,-0.94433594,-0.16168213,-0.3328247,0.28125,-0.953125,-0.234375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628652,-0.94506836,-0.15240479,-0.34625244,-1.046875,-0.1875,-0.53125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628692,-0.9538574,-0.15118408,-0.3381958,-1.203125,0.109375,-0.453125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628732,-0.9448242,-0.1482544,-0.33917236,-0.359375,0.078125,-0.296875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628772,-0.9482422,-0.15216064,-0.33795166,-0.84375,-0.09375,-0.21875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628812,-0.94018555,-0.14385986,-0.33502197,-0.53125,-0.078125,-0.03125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628852,-0.9506836,-0.14630127,-0.3418579,-0.84375,-0.1875,-0.421875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628892,-0.9423828,-0.15533447,-0.34381104,-0.78125,0.078125,-0.25,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628932,-0.9445801,-0.15924072,-0.33502197,-0.515625,-0.09375,-0.265625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300628972,-0.9511719,-0.15240479,-0.34210205,-0.78125,0.34375,-0.359375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629012,-0.94628906,-0.14874268,-0.33599854,-0.734375,0.421875,-0.375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629052,-0.94750977,-0.14776611,-0.33111572,0.484375,0.71875,-0.265625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629092,-0.9538574,-0.14019775,-0.34796143,-1.203125,0.015625,-0.171875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629132,-0.9445801,-0.14483643,-0.33917236,-0.484375,0.453125,-0.125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
