timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,subject_id,recording_id
1695301274807,-1.8164062,0.0390625,-0.03125,251.03125,-290.0625,128.21875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301274847,-1.9873047,0.7832031,0.091796875,86.0,-280.65625,25.1875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301274887,-1.2509766,-0.3701172,0.3095703,-17.96875,-206.25,-24.5,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301274927,-1.1103516,-0.4970703,0.26367188,110.21875,-77.28125,-5.34375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301274967,0.032226562,0.059570312,0.0146484375,-30.09375,44.125,-14.75,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275007,0.39648438,0.3017578,-0.0390625,-109.8125,161.4375,-4.96875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275047,0.40527344,-0.038085938,-0.6982422,-16.6875,180.71875,-41.21875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275087,-1.1757812,-0.7050781,2.0751953,-217.125,66.34375,-55.125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275127,-1.9873047,0.18066406,-1.9248047,-253.1875,-73.875,136.03125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275167,0.8222656,2.0117188,1.5527344,547.90625,-160.46875,-6.75,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275207,-0.3515625,-0.16113281,-0.6933594,-119.875,155.875,-17.0625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275247,-1.9873047,-0.8417969,-0.041015625,-240.0625,247.1875,182.46875,-64.375,27.9375,-47.9375,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275287,-1.7363281,-0.34472656,-0.18652344,52.25,285.8125,-106.90625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275327,-1.9873047,-0.26660156,1.6875,161.3125,152.6875,-48.1875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275367,-0.87597656,0.7363281,1.3095703,-65.5,55.40625,-19.8125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275407,-0.12597656,-1.3632812,-0.15429688,-153.21875,-103.96875,9.0625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275447,-0.390625,-0.49804688,0.6308594,138.40625,-186.0625,-11.375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275487,-1.9873047,-0.23925781,-0.37109375,307.125,-178.59375,30.84375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275527,-1.9873047,0.38964844,-0.15039062,65.125,-299.9375,19.6875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275567,-1.7197266,-0.6484375,-0.083984375,52.0625,-208.34375,-32.125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275607,-0.9736328,-0.08496094,-0.099609375,145.8125,-80.65625,-2.28125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275647,0.2841797,0.5986328,-0.2265625,3.28125,45.625,-20.84375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275687,1.34375,0.1796875,-1.0146484,-40.46875,159.96875,-21.375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275727,0.080078125,0.05078125,0.038085938,-189.71875,171.90625,-4.1875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275767,-1.5517578,-1.3925781,2.0751953,-29.25,-5.9375,-105.5,-66.0,23.4375,-49.125,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275807,-1.9873047,0.013671875,2.0751953,-73.875,-291.21875,179.71875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275847,1.1005859,1.4921875,-0.6386719,176.4375,-92.1875,-129.3125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275887,-1.265625,-0.046875,-1.0419922,-296.875,190.15625,202.125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275927,-1.9873047,-1.0498047,0.45996094,62.25,346.84375,17.4375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301275967,-1.9873047,0.3203125,2.0751953,117.84375,125.71875,13.46875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276007,-0.7480469,0.28710938,0.9550781,-118.84375,-8.0,38.90625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276047,0.107421875,-1.4326172,-0.39746094,-139.40625,-95.59375,4.1875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276087,-0.3154297,-0.6035156,0.42871094,193.40625,-192.9375,-21.375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276127,-1.734375,0.5732422,0.18554688,240.96875,-258.25,85.25,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276167,-1.9873047,0.2685547,-0.109375,73.15625,-296.78125,-134.71875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276207,-1.3085938,-0.5058594,0.6308594,38.5625,-223.78125,-30.40625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276247,-0.7451172,-0.5185547,0.12011719,135.25,-57.03125,10.46875,-62.375,25.25,-39.1875,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276287,-0.13769531,0.3515625,-0.046875,15.25,19.40625,36.90625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276327,0.44726562,0.9042969,-0.26464844,-85.875,150.6875,-32.0,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276367,0.65625,-0.96777344,-0.3095703,-105.90625,108.8125,-71.6875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276407,-1.2685547,-1.0566406,1.9316406,-250.3125,85.125,-38.28125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276447,-1.9873047,1.6494141,2.0751953,-172.0,-112.3125,118.0625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276487,2.0126953,2.0117188,2.0751953,175.28125,69.5,-283.03125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276527,-0.7294922,-0.12207031,-1.5498047,-309.75,238.28125,171.1875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276567,-1.9873047,-1.9882812,-1.0380859,-210.9375,388.46875,-24.25,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276607,-1.9873047,-0.6171875,1.2460938,117.40625,243.40625,-26.34375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276647,-1.2939453,1.4023438,1.5419922,-56.84375,109.1875,7.65625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276687,0.18359375,-1.3554688,0.029296875,-191.96875,-124.90625,24.5625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276727,-0.24707031,-0.94921875,0.73046875,140.90625,-176.65625,-21.9375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276767,-1.0732422,0.38476562,-0.53808594,284.21875,-205.09375,45.375,-67.625,22.8125,-61.875,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276807,-1.9873047,0.13671875,-0.1328125,61.75,-281.15625,-54.53125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276847,-1.3378906,-0.49902344,0.44921875,-59.8125,-258.9375,-76.125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301276887,-0.63378906,-0.59472656,-0.064453125,132.8125,-125.1875,20.375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
