timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
1695673925058,0.37817383,-0.010803223,-0.9373169,-0.40625,-0.6875,-0.03125,9
1695673925098,0.39135742,0.027770996,-0.94415283,-4.203125,-14.1875,-1.484375,10
1695673925138,0.6166992,0.015808105,-1.5144653,-29.25,-82.25,-11.234375,11
1695673925178,0.3828125,-0.0960083,-0.36065674,-24.21875,-43.015625,-7.890625,12
1695673925218,0.3251953,-0.11090088,-0.48394775,7.453125,-1.796875,0.375,13
1695673925258,0.5031738,-0.12286377,-0.7581177,4.046875,6.703125,1.625,14
1695673925298,0.5510254,-0.034484863,-0.9348755,7.40625,5.15625,2.875,15
1695673925338,0.5793457,-0.05279541,-0.92022705,-8.3125,-0.0625,-2.5625,16
1695673925378,0.4970703,-0.08917236,-0.7522583,-3.125,-0.140625,-1.046875,17
1695673925418,0.52783203,-0.070617676,-0.84625244,-4.328125,4.53125,-0.109375,18
1695673925458,0.6242676,-0.05206299,-0.942688,-4.21875,-7.953125,-1.078125,19
1695673925498,0.53125,-0.105041504,-0.86187744,0.390625,1.125,0.203125,20
1695673925538,0.49902344,-0.09161377,-0.8225708,0.765625,0.75,0.265625,21
1695673925578,0.4897461,-0.09552002,-0.79107666,-2.5,-1.78125,-0.21875,22
1695673925618,0.54467773,-0.09625244,-0.81085205,-5.03125,-9.046875,-0.96875,23
1695673925658,0.50439453,-0.09136963,-0.78009033,0.765625,-2.09375,1.0,24
1695673925698,0.560791,-0.07647705,-0.83795166,1.796875,2.703125,0.078125,25
1695673925738,0.59106445,-0.10430908,-0.9668579,-15.921875,-13.078125,-4.875,26
1695673925778,0.6398926,-0.15997314,-0.9224243,-20.203125,-11.78125,-6.375,27
1695673925818,0.4169922,-0.1182251,-0.50177,8.953125,6.5625,1.234375,28
1695673925858,0.4206543,-0.046936035,-0.56622314,31.0625,16.078125,7.890625,29
1695673925898,0.5163574,-0.10211182,-0.8550415,27.140625,19.109375,7.640625,30
1695673925938,0.56103516,-0.030822754,-1.0359497,3.3125,24.265625,0.921875,31
1695673925978,0.5205078,-0.062072754,-0.90289307,-8.71875,19.203125,-1.734375,32
1695673926018,0.41430664,-0.05621338,-0.8274536,5.78125,25.375,2.390625,33
1695673926058,0.47192383,-0.027160645,-1.0164185,4.984375,15.828125,3.484375,34
1695673926098,0.44213867,-0.027404785,-1.0686646,3.828125,-1.34375,1.3125,35
1695673926138,0.40942383,-0.035461426,-0.96295166,-2.28125,-2.15625,-1.203125,36
1695673926178,0.3996582,-0.005432129,-0.8440552,-12.28125,-7.953125,-6.453125,37
1695673926218,0.5583496,-0.086242676,-1.1694946,-41.96875,-56.3125,-13.328125,38
1695673926258,0.34326172,-0.17779541,-0.3772583,-7.5625,-28.890625,-2.078125,39
1695673926298,0.46166992,-0.14898682,-0.60894775,16.5625,6.265625,7.390625,40
1695673926338,0.56225586,-0.065979004,-0.88360596,21.046875,5.46875,6.40625,41
1695673926378,0.60180664,-0.0256958,-1.2161255,-7.828125,4.546875,-3.5,42
1695673926418,0.54785156,-0.13946533,-0.8057251,-25.6875,-32.03125,-7.828125,43
1695673926458,0.46118164,-0.06890869,-0.6289673,-5.125,2.203125,-1.703125,44
1695673926498,0.55981445,-0.09527588,-0.77593994,9.3125,4.96875,3.546875,45
1695673926538,0.5251465,-0.08062744,-0.8753052,9.734375,8.78125,3.609375,46
1695673926578,0.55200195,-0.10308838,-0.8689575,-5.6875,-6.9375,-1.46875,47
1695673926618,0.44604492,-0.12896729,-0.72613525,-1.0,5.265625,-0.5,48
1695673926658,0.50756836,-0.10040283,-0.8272095,0.484375,8.765625,-1.796875,49
1695673926698,0.51708984,-0.1038208,-0.88531494,-2.5,7.71875,-2.84375,50
1695673926738,0.4975586,-0.101135254,-0.8233032,0.34375,8.984375,-0.453125,51
1695673926778,0.5053711,-0.09429932,-0.8609009,8.90625,14.765625,3.078125,52
1695673926818,0.5109863,-0.0791626,-0.97052,12.328125,16.59375,5.5,53
1695673926858,0.50146484,-0.054748535,-0.99468994,7.15625,12.484375,3.375,54
1695673926898,0.45117188,-0.059143066,-0.9192505,2.09375,10.671875,1.71875,55
1695673926938,0.42041016,-0.06842041,-0.9109497,0.25,9.546875,1.015625,56
1695673926978,0.41308594,-0.043273926,-0.91412354,-1.1875,3.046875,-0.328125,57
1695673927018,0.47338867,-0.038391113,-1.0713501,-15.9375,-12.703125,-5.828125,58
1695673927058,0.46362305,-0.105041504,-1.1716919,-28.625,-41.78125,-7.4375,59
1695673927098,0.4387207,-0.12188721,-0.6560669,-3.875,-15.859375,1.0,60
