,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,0.0,1695553600897,-0.7998047,-0.12109375,-0.17871094,-22.1875,30.15625,-42.125,0.0,0.0,0.0,0
1,1.0,1695553600937,-0.85253906,-0.13671875,-0.171875,-15.0,34.84375,-44.0,0.0,0.0,0.0,1
2,2.0,1695553600977,-0.88378906,-0.13671875,-0.16992188,-14.9375,34.96875,-41.6875,0.0,0.0,0.0,2
3,3.0,1695553601017,-0.9189453,-0.14648438,-0.2109375,-10.84375,25.8125,-33.4375,0.0,0.0,0.0,3
4,4.0,1695553601057,-0.93066406,-0.16699219,-0.19628906,-12.375,20.15625,-28.09375,0.0,0.0,0.0,4
5,5.0,1695553601097,-0.9345703,-0.18359375,-0.19921875,-19.3125,14.40625,-23.875,0.0,0.0,0.0,5
6,6.0,1695553601137,-0.953125,-0.2783203,-0.20996094,-19.3125,7.4375,-16.125,0.0,0.0,0.0,6
7,7.0,1695553601177,-0.9277344,-0.25585938,-0.1796875,-12.0,6.90625,-6.71875,0.0,0.0,0.0,7
8,8.0,1695553601217,-0.90625,-0.2626953,-0.18652344,-10.90625,8.78125,-1.28125,0.0,0.0,0.0,8
9,9.0,1695553601257,-0.9658203,-0.2841797,-0.22070312,-5.71875,10.75,3.71875,0.0,0.0,0.0,9
10,10.0,1695553601297,-1.0,-0.2783203,-0.2548828,-7.34375,8.625,6.21875,-86.6875,-13.75,-134.875,10
11,11.0,1695553601337,-1.0009766,-0.27734375,-0.32128906,-4.59375,11.125,-1.15625,0.0,0.0,0.0,11
12,12.0,1695553601377,-1.1269531,-0.27246094,-0.28125,-1.5,20.34375,-8.375,0.0,0.0,0.0,12
13,13.0,1695553601417,-1.2724609,-0.31347656,-0.3486328,-7.46875,9.34375,-11.0,0.0,0.0,0.0,13
14,14.0,1695553601457,-1.2832031,-0.24902344,-0.41601562,-4.84375,-3.71875,-7.4375,0.0,0.0,0.0,14
15,15.0,1695553601497,-1.0273438,-0.1171875,-0.4111328,0.875,-24.71875,-0.6875,0.0,0.0,0.0,15
16,16.0,1695553601537,-1.0625,-0.091796875,-0.40039062,18.84375,-36.25,17.03125,0.0,0.0,0.0,16
17,17.0,1695553601577,-1.0810547,-0.11230469,-0.29882812,14.6875,-52.375,30.15625,0.0,0.0,0.0,17
18,18.0,1695553601617,-0.9707031,-0.07519531,-0.21679688,3.4375,-68.0,24.09375,0.0,0.0,0.0,18
19,19.0,1695553601657,-1.1005859,-0.20117188,-0.17089844,13.75,-79.9375,23.625,0.0,0.0,0.0,19
20,20.0,1695553601697,-0.9628906,-0.13085938,-0.20507812,25.125,-69.9375,35.09375,0.0,0.0,0.0,20
21,21.0,1695553601737,-0.9921875,-0.033203125,-0.10253906,7.65625,-68.15625,47.125,0.0,0.0,0.0,21
22,22.0,1695553601777,-0.85058594,-0.0009765625,-0.07910156,-14.3125,-36.6875,56.40625,0.0,0.0,0.0,22
23,23.0,1695553601817,-0.7314453,-0.03125,0.015625,-27.75,-12.6875,55.78125,-101.25,-8.6875,-125.4375,23
24,24.0,1695553601857,-0.70410156,-0.026367188,0.0390625,-39.21875,7.28125,49.625,0.0,0.0,0.0,24
25,25.0,1695553601897,-0.73339844,0.009765625,0.051757812,-28.53125,5.1875,35.8125,0.0,0.0,0.0,25
26,26.0,1695553601937,-0.81347656,0.030273438,0.10253906,-15.09375,-0.4375,23.9375,0.0,0.0,0.0,26
27,27.0,1695553601977,-0.84765625,0.052734375,0.119140625,-6.375,-6.40625,9.75,0.0,0.0,0.0,27
28,28.0,1695553602017,-0.9042969,0.09375,0.15332031,-0.65625,-14.34375,0.4375,0.0,0.0,0.0,28
29,29.0,1695553602057,-0.9970703,0.046875,0.123046875,-0.875,-13.78125,-5.375,0.0,0.0,0.0,29
30,30.0,1695553602097,-0.984375,0.056640625,0.14257812,3.75,-7.875,-6.46875,0.0,0.0,0.0,30
31,31.0,1695553602137,-1.1035156,0.13574219,0.078125,-5.59375,16.0625,-12.9375,0.0,0.0,0.0,31
32,32.0,1695553602177,-1.2753906,0.053710938,0.103515625,-9.4375,27.78125,-3.59375,0.0,0.0,0.0,32
33,33.0,1695553602217,-1.2871094,-0.016601562,0.024414062,-7.96875,10.375,-11.71875,0.0,0.0,0.0,33
34,34.0,1695553602257,-1.4023438,0.02734375,-0.0087890625,12.46875,5.5625,-9.78125,0.0,0.0,0.0,34
35,35.0,1695553602297,-0.94433594,0.080078125,-0.13085938,18.34375,18.6875,-16.71875,-99.625,-5.9375,-124.25,35
36,36.0,1695553602337,-0.9765625,-0.0078125,-0.23535156,22.78125,29.65625,-30.53125,0.0,0.0,0.0,36
37,37.0,1695553602377,-1.0556641,-0.07324219,-0.25585938,18.40625,28.25,-27.90625,0.0,0.0,0.0,37
38,38.0,1695553602417,-1.0039062,-0.0146484375,-0.22265625,5.78125,22.96875,-18.75,0.0,0.0,0.0,38
39,39.0,1695553602457,-0.9267578,-0.064453125,-0.2109375,-4.25,29.4375,-17.28125,0.0,0.0,0.0,39
40,40.0,1695553602497,-0.8847656,-0.049804688,-0.13378906,-18.09375,34.6875,-27.59375,0.0,0.0,0.0,40
41,41.0,1695553602537,-0.8076172,-0.07910156,-0.111328125,-21.875,30.34375,-35.46875,0.0,0.0,0.0,41
42,42.0,1695553602577,-0.73828125,-0.19140625,-0.16015625,-17.25,34.375,-39.1875,0.0,0.0,0.0,42
43,43.0,1695553602617,-0.8330078,-0.20214844,-0.20507812,-2.65625,41.09375,-38.9375,0.0,0.0,0.0,43
44,44.0,1695553602657,-0.8876953,-0.11230469,-0.20703125,6.9375,33.8125,-33.15625,0.0,0.0,0.0,44
45,45.0,1695553602697,-0.9140625,-0.08886719,-0.19726562,0.625,22.46875,-26.75,0.0,0.0,0.0,45
46,46.0,1695553602737,-0.8876953,-0.19433594,-0.24023438,-6.75,9.59375,-20.625,0.0,0.0,0.0,46
47,47.0,1695553602777,-0.9501953,-0.26464844,-0.19140625,-5.09375,7.375,-12.40625,0.0,0.0,0.0,47
48,48.0,1695553602817,-0.9091797,-0.27441406,-0.20410156,-1.125,9.46875,-5.875,-87.75,-17.0625,-134.625,48
49,49.0,1695553602857,-0.9140625,-0.265625,-0.20703125,3.375,11.0625,3.53125,0.0,0.0,0.0,49
50,50.0,1695553602897,-0.9296875,-0.26171875,-0.23535156,2.15625,9.15625,6.46875,0.0,0.0,0.0,50
51,51.0,1695553602937,-0.953125,-0.28808594,-0.19140625,3.25,11.78125,7.0625,0.0,0.0,0.0,51
52,52.0,1695553602977,-1.0351562,-0.3203125,-0.22460938,4.4375,10.0,5.5,0.0,0.0,0.0,52
