,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,0.0,1695553686429,-0.9121094,-0.27929688,-0.12207031,25.59375,5.3125,15.6875,0.0,0.0,0.0,0
1,1.0,1695553686469,-0.9091797,-0.27734375,-0.11425781,29.03125,-1.34375,19.71875,0.0,0.0,0.0,1
2,2.0,1695553686509,-0.92089844,-0.23242188,-0.11328125,27.9375,-8.40625,18.125,0.0,0.0,0.0,2
3,3.0,1695553686549,-0.93066406,-0.15820312,-0.10644531,24.75,-20.25,17.5625,0.0,0.0,0.0,3
4,4.0,1695553686589,-0.85546875,-0.17773438,-0.10644531,15.15625,-18.4375,14.21875,0.0,0.0,0.0,4
5,5.0,1695553686629,-0.85839844,-0.18359375,-0.115234375,14.4375,-13.375,10.96875,0.0,0.0,0.0,5
6,6.0,1695553686669,-0.7939453,-0.18847656,-0.119140625,15.21875,-11.21875,14.03125,0.0,0.0,0.0,6
7,7.0,1695553686709,-0.8125,-0.2421875,-0.037109375,27.375,1.71875,10.875,0.0,0.0,0.0,7
8,8.0,1695553686749,-0.8388672,-0.20898438,-0.12207031,26.59375,9.65625,14.28125,0.0,0.0,0.0,8
9,9.0,1695553686789,-0.85839844,-0.14746094,-0.036132812,27.4375,4.65625,21.96875,0.0,0.0,0.0,9
10,10.0,1695553686829,-0.734375,-0.16503906,-0.049804688,18.9375,-3.71875,23.5,-97.625,0.8125,-122.3125,10
11,11.0,1695553686869,-0.74609375,-0.07421875,-0.20800781,29.21875,-4.9375,14.15625,0.0,0.0,0.0,11
12,12.0,1695553686909,-1.2978516,-0.029296875,-0.1953125,50.6875,-9.75,-6.28125,0.0,0.0,0.0,12
13,13.0,1695553686949,-1.5439453,-0.16113281,-0.06640625,52.40625,-26.65625,-11.40625,0.0,0.0,0.0,13
14,14.0,1695553686989,-1.5605469,-0.19921875,0.10058594,37.8125,-40.28125,-24.1875,0.0,0.0,0.0,14
15,15.0,1695553687029,-1.3681641,-0.0146484375,-0.0087890625,22.375,-30.28125,0.84375,0.0,0.0,0.0,15
16,16.0,1695553687069,-1.0556641,-0.15917969,0.09863281,8.9375,-19.46875,12.75,0.0,0.0,0.0,16
17,17.0,1695553687109,-0.9189453,-0.15039062,0.13378906,27.3125,-4.03125,12.09375,0.0,0.0,0.0,17
18,18.0,1695553687149,-0.9716797,-0.064453125,0.09765625,29.8125,10.75,-1.34375,0.0,0.0,0.0,18
19,19.0,1695553687189,-0.8408203,-0.07324219,0.091796875,22.375,16.1875,-3.96875,0.0,0.0,0.0,19
20,20.0,1695553687229,-0.7685547,-0.1015625,0.041992188,18.71875,21.1875,-13.84375,0.0,0.0,0.0,20
21,21.0,1695553687269,-0.8203125,-0.11816406,0.0087890625,31.09375,22.65625,-17.75,0.0,0.0,0.0,21
22,22.0,1695553687309,-0.8691406,-0.119140625,0.025390625,40.75,17.21875,-15.5,-98.375,-2.5,-121.875,22
