,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
49,1695980746343,-0.9824219,0.20214844,0.375,0.84375,-114.21875,-6.375,0.0,0.0,0.0
50,1695980746383,-0.84375,0.11621094,0.4658203,2.3125,-82.03125,-7.53125,0.0,0.0,0.0
51,1695980746423,-0.82714844,0.13574219,0.5058594,2.1875,-51.96875,0.46875,0.0,0.0,0.0
52,1695980746463,-0.82910156,0.16699219,0.5595703,-2.53125,-14.59375,3.84375,0.0,0.0,0.0
53,1695980746503,-0.76171875,0.12011719,0.5800781,2.125,-4.71875,2.375,-107.375,43.8125,-19.6875
54,1695980746543,-0.8339844,0.19726562,0.6015625,6.9375,3.28125,7.625,0.0,0.0,0.0
55,1695980746583,-0.7949219,0.1640625,0.51171875,10.78125,22.3125,1.21875,0.0,0.0,0.0
56,1695980746623,-0.9941406,0.16015625,0.5332031,8.09375,24.34375,6.9375,0.0,0.0,0.0
57,1695980746663,-0.8466797,0.23046875,0.38085938,10.125,16.21875,2.65625,0.0,0.0,0.0
58,1695980746703,-0.9238281,0.16113281,0.46191406,6.75,-3.4375,2.125,0.0,0.0,0.0
59,1695980746743,-0.8339844,0.17285156,0.45507812,7.84375,8.40625,3.90625,0.0,0.0,0.0
60,1695980746783,-0.9111328,0.20019531,0.49609375,9.875,16.84375,3.71875,0.0,0.0,0.0
61,1695980746823,-0.9121094,0.2265625,0.4482422,11.65625,13.90625,7.25,0.0,0.0,0.0
62,1695980746863,-0.8564453,0.20605469,0.44628906,7.4375,7.96875,-1.1875,0.0,0.0,0.0
63,1695980746903,-0.8359375,0.15625,0.48242188,7.5,23.125,1.3125,0.0,0.0,0.0
64,1695980746943,-0.83203125,0.17773438,0.4736328,9.75,33.625,6.40625,0.0,0.0,0.0
65,1695980746983,-0.7988281,0.15234375,0.42871094,15.96875,70.78125,10.71875,-106.625,49.0625,-7.125
66,1695980747023,-1.0273438,0.16796875,0.3876953,23.96875,131.8125,16.28125,0.0,0.0,0.0
67,1695980747063,-1.4443359,0.30078125,0.45703125,39.34375,155.75,28.65625,0.0,0.0,0.0
68,1695980747103,-1.3496094,0.30664062,0.4951172,42.96875,91.90625,38.75,0.0,0.0,0.0
