# Sensor type: Respeck
# Activity type: Lying down on left
# Activity subtype: Normal
# Subject id: s2077148
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695293191614,-0.8989258,-0.10308838,-0.4656372,-1.3125,-1.765625,-0.15625
1695293191652,-0.89331055,-0.1026001,-0.45465088,0.4375,0.046875,0.609375
1695293191718,-0.88305664,-0.109680176,-0.47320557,0.0,1.125,0.375
1695293191735,-0.8745117,-0.10821533,-0.45684814,-0.71875,0.265625,-0.203125
1695293191767,-0.88964844,-0.10015869,-0.45635986,-0.9375,-0.125,-0.109375
1695293191840,-0.9042969,-0.10455322,-0.45269775,-0.328125,0.46875,-0.578125
1695293191854,-0.9067383,-0.10650635,-0.45513916,-0.671875,1.59375,-0.296875
1695293191885,-0.9055176,-0.094055176,-0.47247314,-1.703125,5.28125,-1.828125
1695293191961,-0.89575195,-0.105773926,-0.43511963,-1.625,10.34375,-1.34375
1695293191964,-0.88183594,-0.09820557,-0.4290161,-1.1875,4.40625,-0.328125
1695293192035,-0.888916,-0.10015869,-0.43536377,-1.1875,2.640625,0.671875
1695293192049,-0.9187012,-0.11529541,-0.43145752,-1.90625,3.5625,0.515625
1695293192080,-0.91430664,-0.10821533,-0.42462158,-0.34375,3.84375,-0.609375
1695293192162,-0.9128418,-0.10406494,-0.409729,0.671875,5.328125,-1.09375
1695293192172,-0.8937988,-0.10797119,-0.4216919,-0.03125,1.6875,-0.6875
1695293192200,-0.9091797,-0.093811035,-0.42608643,-1.046875,-0.34375,-0.109375
1695293192245,-0.91845703,-0.101135254,-0.42022705,-0.734375,0.953125,-0.25
1695293192292,-0.9094238,-0.09967041,-0.41046143,0.09375,2.84375,-0.296875
1695293192320,-0.90283203,-0.10333252,-0.40802002,0.03125,1.328125,0.390625
1695293192365,-0.9135742,-0.097229004,-0.41241455,-0.234375,0.34375,0.796875
1695293192410,-0.90600586,-0.1026001,-0.4187622,0.328125,0.15625,0.71875
1695293192438,-0.9086914,-0.10333252,-0.4199829,0.34375,-0.375,0.578125
1695293192520,-0.9099121,-0.109680176,-0.42437744,-0.390625,-0.375,0.265625
1695293192533,-0.9030762,-0.10748291,-0.42437744,0.234375,0.796875,-0.3125
1695293192563,-0.9030762,-0.10870361,-0.4229126,1.171875,2.5625,0.046875
1695293192640,-0.9128418,-0.101379395,-0.4187622,2.25,1.5625,1.390625
1695293192711,-0.91796875,-0.10675049,-0.39874268,1.515625,0.234375,1.109375
1695293192713,-0.9108887,-0.10089111,-0.41583252,-0.015625,-1.78125,0.109375
1695293192725,-0.89501953,-0.101623535,-0.42681885,-1.265625,-1.75,-0.046875
1695293192801,-0.9169922,-0.10821533,-0.42755127,-0.40625,-0.640625,0.40625
1695293192804,-0.9003906,-0.101867676,-0.42510986,-0.3125,-0.3125,0.296875
1695293192876,-0.91137695,-0.10650635,-0.4277954,0.265625,-0.25,-0.046875
1695293192878,-0.9108887,-0.1026001,-0.4356079,-0.375,0.109375,-0.21875
1695293192952,-0.8964844,-0.10772705,-0.43414307,-0.546875,-0.296875,-0.296875
1695293192965,-0.89624023,-0.105529785,-0.43951416,-1.484375,-0.0625,-0.21875
1695293193041,-0.9104004,-0.10479736,-0.42755127,0.109375,0.28125,-0.03125
1695293193044,-0.9038086,-0.10308838,-0.43096924,-0.140625,0.359375,0.0
1695293193116,-0.904541,-0.1038208,-0.43756104,-0.234375,1.109375,-0.171875
1695293193117,-0.8942871,-0.10284424,-0.43023682,0.265625,0.546875,-0.15625
1695293193193,-0.89990234,-0.09698486,-0.43780518,-0.078125,0.171875,0.140625
1695293193209,-0.90063477,-0.105041504,-0.4343872,-0.265625,0.453125,-0.046875
1695293193234,-0.9008789,-0.101867676,-0.43048096,-0.828125,0.15625,-0.203125
1695293193308,-0.9042969,-0.10675049,-0.43780518,-0.734375,0.328125,-0.234375
1695293193328,-0.9025879,-0.10089111,-0.4319458,-0.28125,0.671875,-0.171875
1695293193353,-0.89501953,-0.101379395,-0.43536377,0.21875,-0.46875,-0.125
1695293193429,-0.89404297,-0.09429932,-0.4439087,-0.40625,-0.5,-0.078125
1695293193448,-0.8918457,-0.105285645,-0.45098877,-1.90625,0.734375,-0.1875
1695293193473,-0.9013672,-0.10845947,-0.42755127,0.078125,1.15625,0.171875
1695293193548,-0.8967285,-0.10333252,-0.43634033,-0.453125,0.3125,-0.109375
1695293193565,-0.8947754,-0.10626221,-0.4475708,-0.375,-0.15625,-0.203125
1695293193596,-0.90405273,-0.10723877,-0.44610596,-0.578125,0.265625,-0.1875
1695293193674,-0.88842773,-0.101379395,-0.44366455,-0.171875,0.640625,-0.28125
1695293193676,-0.8972168,-0.10626221,-0.4446411,-0.34375,0.78125,0.09375
1695293193747,-0.8984375,-0.09942627,-0.4500122,0.21875,0.328125,0.578125
1695293193759,-0.8852539,-0.105041504,-0.4446411,-0.171875,0.125,0.390625
1695293193790,-0.89038086,-0.097229004,-0.44659424,-0.578125,0.078125,0.3125
1695293193866,-0.9003906,-0.10455322,-0.44073486,0.625,0.140625,0.453125
1695293193877,-0.8972168,-0.10626221,-0.442688,0.8125,0.484375,0.6875
1695293193907,-0.88964844,-0.10235596,-0.44537354,0.375,0.53125,0.578125
1695293193985,-0.8996582,-0.112854004,-0.44976807,-0.046875,0.28125,0.578125
1695293193998,-0.8913574,-0.105041504,-0.4512329,0.4375,0.53125,0.609375
1695293194030,-0.8996582,-0.105285645,-0.44586182,1.46875,1.171875,0.703125
1695293194105,-0.9020996,-0.10699463,-0.4541626,0.515625,0.0625,0.609375
1695293194120,-0.8952637,-0.105529785,-0.45196533,0.25,1.5625,0.421875
1695293194150,-0.8967285,-0.101623535,-0.43023682,1.6875,1.421875,0.5
1695293194226,-0.8898926,-0.10406494,-0.45562744,-0.296875,0.703125,0.359375
1695293194239,-0.8991699,-0.10797119,-0.44293213,0.84375,0.6875,0.28125
1695293194269,-0.8952637,-0.105285645,-0.44659424,0.390625,1.125,0.171875
1695293194347,-0.89404297,-0.10040283,-0.44439697,-0.1875,1.015625,0.453125
1695293194361,-0.8955078,-0.10333252,-0.44976807,0.203125,1.203125,0.640625
1695293194389,-0.89160156,-0.105285645,-0.44317627,0.140625,1.265625,0.421875
1695293194472,-0.8991699,-0.10650635,-0.45025635,0.28125,1.6875,0.640625
1695293194475,-0.89453125,-0.105773926,-0.44805908,-0.078125,1.4375,0.390625
1695293194540,-0.892334,-0.10748291,-0.44195557,0.46875,1.0,0.546875
1695293194557,-0.89941406,-0.11114502,-0.43878174,0.140625,0.46875,0.40625
1695293194584,-0.8913574,-0.1038208,-0.4492798,-0.09375,0.71875,0.28125
1695293194662,-0.8937988,-0.109680176,-0.45025635,0.328125,1.625,0.484375
1695293194676,-0.9067383,-0.11383057,-0.4451294,1.203125,4.265625,-0.046875
1695293194705,-0.8881836,-0.10211182,-0.43170166,1.046875,3.15625,0.515625
1695293194780,-0.89208984,-0.10064697,-0.44073486,0.234375,1.5625,0.578125
1695293194795,-0.89941406,-0.105041504,-0.4307251,0.6875,0.453125,0.796875
1695293194826,-0.90185547,-0.105285645,-0.440979,0.0,0.625,0.328125
1695293194901,-0.8967285,-0.105773926,-0.44830322,-0.71875,0.796875,0.265625
1695293194915,-0.8989258,-0.11383057,-0.44122314,-0.515625,1.09375,0.53125
1695293194945,-0.8991699,-0.10797119,-0.42974854,-0.015625,0.78125,0.375
