timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664377899138,-0.49975586,-0.35064697,0.83514404,1.15625,0.515625,-0.265625,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899182,-0.49169922,-0.3484497,0.8317261,0.6875,0.515625,-0.125,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899246,-0.49658203,-0.35406494,0.8529663,2.25,0.421875,-0.015625,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899258,-0.4880371,-0.347229,0.83270264,-0.46875,-0.25,-0.09375,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899363,-0.48217773,-0.3381958,0.821228,0.015625,0.515625,0.21875,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899378,-0.4970703,-0.33843994,0.822937,-0.640625,-1.734375,-0.09375,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899455,-0.5041504,-0.34381104,0.8344116,-1.203125,-1.5625,-0.328125,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899497,-0.49121094,-0.3399048,0.82855225,-0.984375,-0.375,0.09375,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899544,-0.49853516,-0.33966064,0.83099365,-0.46875,0.09375,-0.140625,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899574,-0.5083008,-0.34869385,0.84246826,0.578125,0.5,-0.03125,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899617,-0.50146484,-0.3328247,0.8270874,-0.46875,-0.671875,-0.234375,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899664,-0.50219727,-0.34454346,0.8265991,-0.09375,-0.03125,-0.125,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899692,-0.5036621,-0.33624268,0.822937,-0.859375,-0.59375,-0.078125,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899738,-0.50878906,-0.34552002,0.8331909,-0.421875,-0.578125,-0.171875,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899785,-0.5107422,-0.3399048,0.8341675,-0.109375,-0.234375,-0.15625,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899814,-0.50439453,-0.3357544,0.82611084,-0.640625,-0.171875,-0.046875,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899858,-0.5061035,-0.33966064,0.8295288,-0.15625,0.234375,-0.125,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899918,-0.49975586,-0.33306885,0.8239136,-1.40625,0.265625,0.0625,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899936,-0.5065918,-0.33502197,0.83221436,-0.0625,0.46875,0.078125,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377899977,-0.50927734,-0.3484497,0.83807373,-0.15625,-0.5,-0.46875,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900024,-0.515625,-0.3394165,0.83099365,1.40625,0.671875,-0.140625,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900053,-0.50341797,-0.31451416,0.8295288,-0.109375,0.65625,-0.078125,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900113,-0.52001953,-0.33233643,0.83465576,0.5625,1.265625,-0.0625,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900143,-0.5102539,-0.33624268,0.82806396,-0.484375,0.3125,-0.09375,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900173,-0.50756836,-0.33355713,0.8283081,0.359375,0.15625,-0.109375,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900206,-0.5,-0.3250122,0.82073975,-0.8125,0.578125,0.0625,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900264,-0.50878906,-0.33258057,0.8361206,-0.0625,0.390625,-0.15625,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900323,-0.50634766,-0.33673096,0.8353882,0.03125,0.5,-0.109375,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900325,-0.50878906,-0.3267212,0.8305054,0.203125,-0.03125,-0.234375,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900384,-0.5046387,-0.3237915,0.82611084,-1.09375,0.09375,-0.15625,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
1664377900413,-0.51708984,-0.33380127,0.8295288,-0.375,0.265625,-0.25,Respeck,Lying down on back,2,s1800825,,Respeck_s1800825_Lying down on back_28-09-2022_16-12-08
