timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
1695737109325,-0.060058594,-0.7776489,0.61224365,1.625,-0.578125,-0.078125,61
1695737109365,-0.08129883,-0.7786255,0.59198,4.140625,-0.1875,0.0,62
1695737109405,-0.046142578,-0.81207275,0.5927124,3.609375,-2.171875,-0.46875,63
1695737109445,-0.079589844,-0.8147583,0.5807495,-1.84375,-4.875,-1.078125,64
1695737109485,-0.044921875,-0.8262329,0.5922241,1.53125,-4.203125,-1.75,65
1695737109525,-0.07373047,-0.8447876,0.58880615,4.671875,-3.25,-0.375,66
1695737109565,-0.063964844,-0.7893677,0.5956421,3.265625,-3.328125,-1.96875,67
1695737109605,-0.11328125,-0.86260986,0.61224365,-2.109375,-6.984375,-2.453125,68
1695737109645,-0.12475586,-0.7905884,0.6066284,-4.953125,-7.265625,-2.53125,69
1695737109685,-0.14916992,-0.7815552,0.63568115,-1.71875,-8.578125,-3.296875,70
1695737109725,-0.17700195,-0.8128052,0.62371826,-2.4375,-10.296875,-3.5,71
1695737109765,-0.19750977,-0.80303955,0.6588745,-2.078125,-6.34375,-4.09375,72
1695737109805,-0.17675781,-0.78790283,0.62420654,-2.9375,-10.359375,-3.796875,73
1695737109845,-0.14819336,-0.8135376,0.5968628,-7.46875,-12.40625,-4.765625,74
1695737109885,-0.15844727,-0.8140259,0.5934448,-5.515625,-6.578125,-3.484375,75
1695737109925,-0.16723633,-0.81329346,0.6010132,-1.4375,-4.75,-1.671875,76
1695737109965,-0.19921875,-0.8286743,0.5985718,-0.609375,-3.3125,-0.65625,77
1695737110005,-0.21533203,-0.80963135,0.61151123,-2.984375,-1.765625,-0.296875,78
1695737110045,-0.19750977,-0.79644775,0.635437,-2.890625,-0.90625,0.265625,79
1695737110085,-0.16967773,-0.7930298,0.6334839,-2.3125,-0.875,0.6875,80
1695737110125,-0.16772461,-0.78863525,0.638855,-2.53125,-1.09375,0.6875,81
1695737110165,-0.17211914,-0.7756958,0.6342163,-3.875,-1.5625,0.328125,82
1695737110205,-0.17822266,-0.76226807,0.6376343,-3.421875,-2.453125,0.1875,83
1695737110245,-0.17504883,-0.7761841,0.64227295,-2.4375,-1.828125,0.5,84
1695737110285,-0.17626953,-0.7756958,0.65911865,0.265625,-1.578125,-0.484375,85
1695737110325,-0.19165039,-0.7930298,0.6322632,-0.828125,-2.203125,-0.359375,86
1695737110365,-0.18383789,-0.78375244,0.6334839,-4.5,-2.734375,-1.53125,87
1695737110405,-0.20214844,-0.7810669,0.65667725,-2.515625,-2.40625,-1.40625,88
1695737110445,-0.20385742,-0.7842407,0.64398193,-3.0,-1.796875,-1.421875,89
