timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
1695738054260,-0.27026367,0.08294678,1.00531,-0.484375,-0.53125,0.25,0
1695738054300,-0.25634766,0.09173584,0.9935913,-1.5625,-1.9375,0.609375,1
1695738054340,-0.25634766,0.10809326,1.00531,-2.203125,-1.5625,0.265625,2
1695738054380,-0.2614746,0.08123779,1.0158081,0.15625,-2.40625,-0.15625,3
1695738054420,-0.28857422,0.093688965,1.0150757,-0.921875,-2.53125,0.53125,4
1695738054460,-0.2932129,0.10760498,1.0233765,-0.78125,-1.671875,0.1875,5
1695738054500,-0.2849121,0.08416748,1.0202026,1.46875,-0.1875,0.34375,6
1695738054540,-0.27270508,0.07147217,1.0202026,1.109375,0.875,0.140625,7
1695738054580,-0.28076172,0.09857178,1.015564,1.5,1.625,0.484375,8
1695738054620,-0.2878418,0.090270996,1.0192261,2.84375,2.796875,0.640625,9
1695738054660,-0.26757812,0.08734131,1.024353,2.328125,3.03125,0.796875,10
1695738054700,-0.2626953,0.07952881,1.0299683,3.0625,4.9375,0.5625,11
1695738054740,-0.25512695,0.06781006,1.0253296,3.046875,7.140625,1.015625,12
1695738054780,-0.22949219,0.04949951,1.0270386,4.421875,9.03125,1.546875,13
1695738054820,-0.203125,0.061706543,1.0131226,3.5,7.4375,1.953125,14
1695738054860,-0.17822266,0.070495605,1.0143433,1.59375,5.53125,1.1875,15
1695738054900,-0.19311523,0.08001709,0.9850464,-0.421875,3.6875,0.796875,16
1695738054940,-0.20214844,0.07122803,1.0131226,0.5625,0.8125,1.078125,17
1695738054980,-0.20581055,0.07196045,1.0319214,-0.40625,0.515625,-1.03125,18
1695738055020,-0.19506836,0.05682373,1.0250854,-0.015625,1.015625,-0.6875,19
1695738055060,-0.18286133,0.07220459,1.0402222,0.265625,-1.015625,-0.328125,20
1695738055100,-0.2006836,0.055358887,1.0492554,0.234375,0.421875,0.03125,21
1695738055140,-0.18774414,0.053649902,1.0448608,0.359375,1.265625,0.03125,22
1695738055180,-0.17529297,0.05340576,1.0321655,-0.375,2.234375,0.484375,23
1695738055220,-0.18457031,0.06365967,1.0343628,0.171875,1.484375,0.5625,24
1695738055260,-0.18481445,0.04046631,1.0292358,1.328125,1.984375,0.5,25
1695738055300,-0.17895508,0.055114746,1.0402222,1.421875,1.828125,0.5,26
1695738055340,-0.17358398,0.061706543,1.0275269,0.203125,2.09375,0.59375,27
1695738055380,-0.15966797,0.07122803,1.0177612,-0.84375,0.796875,0.25,28
1695738055420,-0.15698242,0.06048584,1.0236206,-0.3125,-0.015625,0.0625,29
1695738055460,-0.16772461,0.055847168,1.03656,-0.546875,-0.078125,-0.34375,30
1695738055500,-0.16259766,0.05657959,1.0253296,-0.390625,0.640625,-0.109375,31
1695738055540,-0.1640625,0.05291748,1.0326538,0.546875,0.203125,-0.140625,32
1695738055580,-0.1472168,0.070739746,1.0363159,-1.109375,0.015625,0.15625,33
1695738055620,-0.15966797,0.055603027,1.0187378,-0.875,0.25,0.03125,34
1695738055660,-0.14208984,0.07171631,1.0343628,-0.046875,-0.515625,-0.21875,35
1695738055700,-0.15917969,0.0602417,1.038269,-1.0,-1.359375,-0.046875,36
1695738055740,-0.15625,0.053649902,1.0585327,0.921875,0.734375,-1.421875,37
1695738055780,-0.14355469,0.06585693,1.0143433,-0.359375,-0.625,-1.359375,38
1695738055820,-0.14672852,0.08831787,1.022644,-2.9375,-2.84375,-0.625,39
1695738055860,-0.16796875,0.0770874,1.0350952,-1.546875,0.421875,-0.046875,40
1695738055900,-0.1381836,0.081726074,1.0287476,-1.40625,-0.84375,0.25,41
1695738055940,-0.14746094,0.06732178,1.0331421,0.0,-0.921875,-0.15625,42
1695738055980,-0.1472168,0.074157715,1.024353,-0.40625,-3.28125,-0.09375,43
1695738056020,-0.15039062,0.07098389,1.0324097,-0.609375,-3.46875,-0.265625,44
1695738056060,-0.16015625,0.08123779,1.0292358,0.140625,-2.25,-0.078125,45
1695738056100,-0.15649414,0.08758545,1.0150757,2.796875,0.65625,-0.28125,46
1695738056140,-0.14868164,0.06976318,1.052185,7.25,1.25,-0.71875,47
1695738056180,-0.16918945,0.055603027,1.0255737,7.5625,-1.390625,-0.484375,48
1695738056220,-0.15039062,0.039489746,1.0148315,4.90625,-1.515625,-0.25,49
1695738056260,-0.16186523,0.04119873,1.0421753,4.75,-0.6875,-0.421875,50
1695738056300,-0.1574707,0.039001465,0.99383545,-2.109375,-0.953125,1.0,51
1695738056340,-0.13989258,0.04510498,1.0375366,-0.25,-1.53125,0.28125,52
1695738056380,-0.1550293,0.023376465,1.0465698,1.484375,-1.359375,-0.140625,53
1695738056420,-0.16186523,0.03289795,1.039978,0.859375,-1.828125,0.234375,54
1695738056460,-0.15771484,0.04168701,1.043396,0.734375,-1.34375,0.28125,55
1695738056500,-0.15527344,0.031677246,1.0341187,0.546875,-1.40625,0.140625,56
1695738056540,-0.15820312,0.030944824,1.0421753,1.109375,-2.015625,-0.125,57
1695738056580,-0.15185547,0.030456543,1.0321655,-0.703125,-2.28125,0.421875,58
1695738056620,-0.1628418,0.04095459,1.0534058,0.203125,-2.828125,0.453125,59
1695738056660,-0.17675781,0.010681152,1.0460815,0.703125,-1.0,0.390625,60
1695738056700,-0.1574707,0.03387451,1.031189,0.140625,-0.828125,0.3125,61
1695738056740,-0.15454102,0.039001465,1.0350952,0.359375,-1.25,0.078125,62
1695738056780,-0.16308594,0.039245605,1.0299683,0.203125,-1.265625,0.171875,63
1695738056820,-0.1665039,0.027282715,1.0297241,0.25,-1.359375,0.15625,64
1695738056860,-0.15942383,0.04046631,1.0346069,0.203125,-1.3125,0.078125,65
1695738056900,-0.15844727,0.024353027,1.02948,0.328125,-1.53125,-0.0625,66
1695738056940,-0.17358398,0.010925293,1.0309448,0.109375,-1.03125,0.265625,67
1695738056980,-0.16479492,0.028015137,1.0343628,-0.109375,-0.09375,0.453125,68
1695738057020,-0.15478516,0.032165527,1.0143433,-2.71875,-0.3125,0.40625,69
1695738057060,-0.1616211,0.028747559,1.0482788,-0.546875,-1.34375,-0.125,70
1695738057100,-0.16870117,0.027526855,1.0287476,-1.015625,-0.703125,0.28125,71
1695738057140,-0.15234375,0.062927246,1.0241089,-1.453125,-0.578125,0.09375,72
1695738057180,-0.1586914,0.03265381,1.0282593,-0.078125,-0.15625,0.03125,73
1695738057220,-0.13891602,0.034606934,1.0402222,-0.265625,-0.59375,0.0,74
1695738057260,-0.14868164,0.03656006,1.0372925,0.0625,-1.328125,-0.375,75
1695738057300,-0.15795898,0.042175293,1.013855,-0.953125,-1.859375,0.0,76
1695738057340,-0.16088867,0.041931152,1.039978,0.0625,-2.015625,-0.1875,77
1695738057380,-0.15942383,0.031433105,1.03656,0.515625,-2.71875,-0.40625,78
1695738057420,-0.15966797,0.039978027,1.0377808,0.375,-4.359375,-0.578125,79
1695738057460,-0.17480469,0.031921387,1.0287476,-1.6875,-4.59375,0.078125,80
1695738057500,-0.16796875,0.054626465,0.99383545,-3.84375,-8.734375,-0.734375,81
1695738057540,-0.14794922,0.06097412,1.0101929,-5.015625,-12.5,-2.5,82
1695738057580,-0.21948242,0.04852295,1.0585327,0.140625,-10.375,-2.28125,83
1695738057620,-0.2211914,0.030456543,1.0392456,-3.359375,-8.640625,-1.5625,84
1695738057660,-0.22070312,0.050964355,1.0370483,-1.078125,-6.5,-1.421875,85
1695738057700,-0.2084961,0.06097412,1.0211792,-1.296875,-7.28125,-0.984375,86
1695738057740,-0.25170898,0.078308105,1.0421753,2.234375,-5.34375,-1.53125,87
1695738057780,-0.26635742,0.016296387,1.0111694,-0.125,-2.671875,0.078125,88
1695738057820,-0.22729492,0.07928467,1.022644,-1.3125,-1.34375,-1.078125,89
1695738057860,-0.26171875,0.08831787,1.0524292,1.34375,2.296875,-1.703125,90
1695738057900,-0.31323242,0.0036010742,1.0316772,1.875,5.21875,2.4375,91
1695738057940,-0.20605469,0.06585693,1.0202026,-1.0,5.40625,0.75,92
1695738057980,-0.1706543,0.07318115,0.9833374,0.21875,1.5,0.53125,93
1695738058020,-0.21044922,0.05267334,1.0040894,0.21875,-1.953125,0.015625,94
1695738058060,-0.24560547,0.06414795,1.0370483,0.453125,-1.046875,0.5,95
1695738058100,-0.19848633,0.05731201,1.0563354,0.703125,0.078125,-0.6875,96
1695738058140,-0.21362305,0.04144287,1.0250854,-0.265625,0.0,-0.3125,97
1695738058180,-0.21484375,0.04510498,1.017273,-0.03125,-0.546875,0.1875,98
1695738058220,-0.20483398,0.06072998,1.0123901,-0.4375,-1.890625,0.71875,99
1695738058260,-0.20800781,0.05682373,1.02948,1.0625,-2.203125,0.03125,100
1695738058300,-0.21728516,0.06732178,1.0211792,0.765625,-3.3125,-0.265625,101
1695738058340,-0.21557617,0.039733887,1.0153198,-0.5,-3.40625,0.4375,102
1695738058380,-0.23095703,0.046569824,1.0228882,0.796875,-2.5,0.5,103
1695738058420,-0.23364258,0.040222168,1.0128784,-0.640625,-2.546875,1.34375,104
1695738058460,-0.24365234,0.055603027,1.0192261,-0.6875,-1.546875,0.9375,105
1695738058500,-0.22070312,0.058288574,1.0033569,0.1875,-2.78125,0.890625,106
1695738058540,-0.24487305,0.053649902,1.0175171,0.859375,-4.484375,1.234375,107
1695738058580,-0.25805664,0.05706787,1.0165405,0.90625,-4.46875,0.78125,108
1695738058620,-0.24414062,0.06317139,1.0270386,1.03125,-5.28125,0.8125,109
1695738058660,-0.22265625,0.039489746,1.0018921,-0.203125,-5.546875,-0.1875,110
1695738058700,-0.24682617,0.050476074,1.0004272,-1.90625,-7.0,-0.0625,111
1695738058740,-0.2614746,0.05316162,1.053894,-0.59375,-3.734375,-0.765625,112
1695738058780,-0.33666992,0.04168701,1.0734253,3.453125,4.296875,-0.484375,113
1695738058820,-0.28955078,0.043395996,1.0153198,-0.09375,5.875,0.9375,114
1695738058860,-0.23730469,0.054138184,0.9945679,1.015625,4.71875,0.6875,115
1695738058900,-0.1550293,0.035827637,0.99554443,-0.1875,3.359375,-0.46875,116
1695738058940,-0.15698242,0.06829834,0.9960327,-1.21875,0.9375,-2.15625,117
1695738058980,-0.17700195,0.10223389,1.0126343,-1.703125,-3.953125,-5.4375,118
1695738059020,-0.3244629,-0.0049438477,1.0726929,0.671875,-0.796875,-1.765625,119
1695738059060,-0.31591797,-0.006652832,1.0775757,1.484375,6.171875,5.25,120
1695738059100,-0.19628906,0.08123779,0.99261475,-1.0,3.703125,4.3125,121
1695738059140,-0.14990234,0.09857178,0.9581909,-0.484375,-2.328125,-1.671875,122
1695738059180,-0.21582031,0.013122559,0.98895264,0.984375,-3.859375,-2.4375,123
1695738059220,-0.27905273,0.042907715,1.0514526,0.453125,0.34375,1.71875,124
1695738059260,-0.22265625,0.078308105,1.0504761,0.015625,1.125,0.578125,125
1695738059300,-0.17529297,0.05218506,1.0177612,-0.171875,-0.671875,-1.0625,126
1695738059340,-0.19116211,0.016052246,1.012146,-0.359375,-1.609375,-0.375,127
1695738059380,-0.22558594,0.050231934,1.0165405,-0.25,-0.71875,1.25,128
1695738059420,-0.22387695,0.06732178,1.0297241,0.515625,-1.078125,0.8125,129
1695738059460,-0.21240234,0.04437256,1.0167847,-0.03125,-1.265625,-0.046875,130
1695738059500,-0.21704102,0.045837402,1.0165405,-0.21875,-0.6875,0.109375,131
1695738059540,-0.21777344,0.050231934,1.0275269,0.0625,-0.796875,0.046875,132
1695738059580,-0.21484375,0.050476074,1.0297241,-0.21875,-1.5,-0.078125,133
1695738059620,-0.21850586,0.047790527,1.027771,-0.078125,-1.46875,0.15625,134
1695738059660,-0.21142578,0.055847168,1.0253296,0.09375,-0.640625,0.3125,135
1695738059700,-0.21142578,0.053649902,1.0265503,-0.109375,-0.84375,0.28125,136
1695738059740,-0.22021484,0.049987793,1.0158081,-0.34375,-1.484375,0.15625,137
1695738059780,-0.22192383,0.047302246,1.0275269,0.3125,-1.0,0.125,138
1695738059820,-0.21044922,0.06439209,1.0075073,-0.40625,-1.421875,-0.09375,139
1695738059860,-0.21044922,0.05291748,1.038269,1.359375,-2.09375,-0.921875,140
1695738059900,-0.21704102,0.015075684,1.0253296,1.03125,-1.0625,-0.453125,141
1695738059940,-0.22216797,0.045837402,1.0265503,0.234375,-0.015625,0.90625,142
1695738059980,-0.2121582,0.050476074,1.0162964,0.828125,-1.1875,0.328125,143
1695738060020,-0.22851562,0.030700684,1.0136108,0.125,-0.765625,0.671875,144
1695738060060,-0.22094727,0.05218506,1.0370483,0.359375,-1.0,0.28125,145
1695738060100,-0.21606445,0.051940918,1.0116577,-0.078125,-1.546875,-0.046875,146
1695738060140,-0.2133789,0.047302246,1.0265503,0.78125,-1.046875,0.015625,147
1695738060180,-0.20947266,0.042907715,1.022644,1.03125,-1.140625,0.03125,148
1695738060220,-0.20996094,0.04486084,1.0202026,0.421875,-1.40625,0.40625,149
1695738060260,-0.20288086,0.018005371,1.0363159,0.546875,-3.828125,0.0625,301
1695738060300,-0.20898438,0.015075684,1.0092163,-2.203125,-4.9375,0.4375,302
1695738060340,-0.21484375,0.03387451,1.0158081,-3.15625,-3.296875,0.171875,303
1695738060380,-0.20874023,0.034606934,1.0409546,-0.609375,-0.96875,-0.109375,304
1695738060420,-0.20507812,0.030212402,1.0285034,-0.09375,-1.328125,0.171875,305
1695738060460,-0.2163086,0.031677246,1.0189819,-0.359375,-1.5,0.28125,306
1695738060500,-0.20385742,0.03338623,1.0199585,-0.625,-1.28125,0.015625,307
1695738060540,-0.21044922,0.035339355,1.0275269,-0.296875,-0.984375,0.09375,308
1695738060580,-0.21313477,0.035339355,1.0219116,0.015625,-1.0625,0.171875,309
1695738060620,-0.2133789,0.031433105,1.0285034,-0.390625,-1.59375,0.125,310
1695738060660,-0.21313477,0.03778076,1.0184937,-0.40625,-1.671875,-0.078125,311
1695738060700,-0.20947266,0.048034668,1.0265503,-0.265625,-1.46875,0.015625,312
1695738060740,-0.21118164,0.03778076,1.0253296,0.078125,-1.046875,0.09375,313
1695738060780,-0.21191406,0.03656006,1.0250854,0.625,-1.625,0.171875,314
1695738060820,-0.21679688,0.042907715,1.0206909,0.3125,-1.953125,0.140625,315
1695738060860,-0.22094727,0.040222168,1.0216675,0.34375,-1.828125,0.15625,316
1695738060900,-0.21728516,0.0368042,1.0223999,-0.234375,-1.296875,0.296875,317
1695738060940,-0.2175293,0.034606934,1.0348511,-0.15625,-0.546875,-0.09375,318
1695738060980,-0.2121582,0.030944824,1.0324097,-0.25,-1.78125,0.203125,319
1695738061020,-0.22143555,0.034362793,1.0211792,-0.59375,-1.328125,0.234375,320
1695738061060,-0.21582031,0.035339355,1.0089722,-0.15625,-0.78125,0.21875,321
1695738061100,-0.22729492,0.028259277,1.026062,0.03125,-0.46875,0.265625,322
1695738061140,-0.21484375,0.038757324,1.0160522,0.140625,-0.6875,0.109375,323
1695738061180,-0.2199707,0.0446167,1.027771,-0.15625,-0.640625,0.140625,324
1695738061220,-0.22094727,0.03778076,1.0287476,0.203125,-0.609375,0.078125,325
1695738061260,-0.21142578,0.038024902,1.0270386,-0.140625,-0.921875,0.15625,326
1695738061300,-0.22045898,0.034118652,1.031189,0.328125,-1.0,0.34375,327
1695738061340,-0.21411133,0.039001465,1.022644,0.484375,-1.0,0.125,328
1695738061380,-0.20874023,0.03656006,1.0233765,-0.40625,-1.1875,0.0,329
1695738061420,-0.21923828,0.030456543,1.0267944,0.015625,-1.03125,0.109375,330
1695738061460,-0.21459961,0.027526855,1.0258179,-0.03125,-0.84375,0.203125,331
1695738061500,-0.21679688,0.04046631,1.0216675,0.046875,-0.890625,0.15625,332
1695738061540,-0.20874023,0.030456543,1.022644,0.265625,-1.234375,0.078125,333
1695738061580,-0.21166992,0.03387451,1.017273,-0.0625,-1.015625,0.140625,334
1695738061620,-0.21142578,0.042419434,1.0280151,0.140625,-0.96875,0.21875,335
1695738061660,-0.21557617,0.035583496,1.0206909,0.09375,-1.1875,0.34375,336
1695738061700,-0.2121582,0.02557373,1.0265503,0.40625,-1.59375,0.1875,337
1695738061740,-0.21777344,0.035827637,1.0204468,0.34375,-1.578125,0.125,338
1695738061780,-0.21435547,0.034606934,1.024353,-0.21875,-2.046875,0.1875,339
1695738061820,-0.21923828,0.034606934,1.0202026,0.0,-1.796875,0.046875,340
1695738061860,-0.21777344,0.03387451,1.0194702,0.0,-1.453125,0.21875,341
1695738061900,-0.21728516,0.036315918,1.0253296,-0.015625,-1.296875,0.3125,342
1695738061940,-0.22241211,0.034362793,1.027771,-0.015625,-1.375,0.09375,343
1695738061980,-0.22680664,0.035095215,1.022644,0.0625,-1.21875,0.125,344
1695738062020,-0.22192383,0.031677246,1.0148315,-0.25,-1.390625,0.109375,345
1695738062060,-0.22314453,0.031921387,1.0321655,0.328125,-1.234375,0.125,346
1695738062100,-0.2175293,0.031677246,1.0131226,-0.859375,-1.328125,0.34375,347
1695738062140,-0.22607422,0.026062012,1.0241089,0.171875,-1.28125,0.171875,348
1695738062180,-0.21679688,0.031921387,1.0233765,0.203125,-0.734375,0.25,349
1695738062220,-0.21777344,0.042419434,1.0189819,0.078125,-1.09375,0.0,350
1695738062260,-0.22021484,0.032409668,1.0263062,0.421875,-1.21875,0.203125,351
1695738062300,-0.21240234,0.035339355,1.027771,0.109375,-1.1875,0.203125,352
1695738062340,-0.22314453,0.030212402,1.0233765,0.171875,-1.15625,0.28125,353
1695738062380,-0.22192383,0.026550293,1.0250854,0.421875,-1.171875,0.25,354
1695738062420,-0.22558594,0.038269043,1.0182495,-0.1875,-1.140625,0.328125,355
1695738062460,-0.21948242,0.030456543,1.0270386,0.21875,-1.078125,0.25,356
1695738062500,-0.21508789,0.023376465,1.0275269,-0.140625,-0.75,0.328125,357
1695738062540,-0.22094727,0.04095459,1.0153198,-0.078125,-0.953125,0.203125,358
1695738062580,-0.21484375,0.031433105,1.0292358,-0.15625,-1.046875,0.1875,359
1695738062620,-0.21728516,0.03289795,1.0194702,-0.34375,-1.015625,0.125,360
1695738062660,-0.21606445,0.03753662,1.0245972,-0.21875,-1.140625,0.046875,361
1695738062700,-0.22143555,0.027770996,1.0223999,-0.40625,-1.265625,0.25,362
1695738062740,-0.22070312,0.039001465,1.0289917,-0.09375,-1.109375,0.203125,363
1695738062780,-0.21313477,0.035827637,1.0231323,0.015625,-1.0,0.125,364
1695738062820,-0.21899414,0.036315918,1.0182495,-0.203125,-0.984375,0.078125,365
1695738062860,-0.21972656,0.034362793,1.027771,-0.15625,-1.0625,0.234375,366
1695738062900,-0.22387695,0.03314209,1.0238647,-0.1875,-1.1875,0.140625,367
1695738062940,-0.21850586,0.039978027,1.0267944,0.0,-0.984375,0.078125,368
1695738062980,-0.22070312,0.038269043,1.0282593,-0.109375,-1.09375,0.125,369
1695738063020,-0.2211914,0.042419434,1.0265503,-0.25,-1.0,0.140625,370
1695738063060,-0.22290039,0.026550293,1.0175171,-0.125,-1.03125,0.0625,371
1695738063100,-0.2163086,0.029968262,1.0187378,-0.09375,-1.34375,0.359375,372
1695738063140,-0.21899414,0.034851074,1.0285034,0.203125,-1.1875,0.0,373
1695738063180,-0.21606445,0.039001465,1.0106812,-0.375,-1.15625,0.28125,374
1695738063220,-0.2265625,0.038513184,1.0316772,-0.140625,-0.609375,0.203125,375
1695738063260,-0.22216797,0.030944824,1.0258179,0.375,-0.9375,0.015625,376
1695738063300,-0.22143555,0.04144287,1.026062,-0.140625,-0.53125,0.34375,377
1695738063340,-0.22192383,0.042419434,1.0272827,0.296875,-0.6875,0.234375,378
1695738063380,-0.21655273,0.032165527,1.0289917,-0.0625,-0.59375,0.109375,379
1695738063420,-0.22802734,0.03704834,1.0223999,-0.1875,-1.125,0.078125,380
1695738063460,-0.21826172,0.03363037,1.0346069,0.0,-0.84375,0.15625,381
1695738063500,-0.21240234,0.034362793,1.0238647,-0.28125,-1.203125,0.046875,382
1695738063540,-0.21777344,0.039489746,1.0216675,0.078125,-1.328125,0.125,383
1695738063580,-0.22216797,0.028503418,1.0324097,0.09375,-1.078125,0.171875,384
1695738063620,-0.2211914,0.035827637,1.0206909,-0.078125,-1.421875,0.203125,385
1695738063660,-0.22387695,0.039489746,1.0221558,0.15625,-1.28125,0.03125,386
1695738063700,-0.21826172,0.030212402,1.0219116,0.265625,-1.1875,0.109375,387
1695738063740,-0.21850586,0.030456543,1.0253296,0.078125,-1.234375,0.171875,388
1695738063780,-0.21850586,0.03387451,1.0270386,-0.140625,-1.15625,0.203125,389
1695738063820,-0.2199707,0.032409668,1.0216675,0.03125,-1.265625,0.1875,390
1695738063860,-0.2199707,0.03704834,1.0236206,0.015625,-1.109375,0.140625,391
1695738063900,-0.22460938,0.039733887,1.0228882,-0.28125,-1.203125,0.171875,392
1695738063940,-0.21679688,0.02947998,1.0270386,-0.40625,-0.640625,0.0625,393
1695738063980,-0.21850586,0.04095459,1.0170288,-0.375,-1.109375,0.109375,394
1695738064020,-0.21801758,0.034118652,1.0228882,-0.1875,-1.046875,0.28125,395
1695738064060,-0.22290039,0.03387451,1.0309448,-0.3125,-1.1875,0.234375,396
1695738064100,-0.21875,0.039489746,1.0114136,-0.40625,-0.984375,0.21875,397
1695738064140,-0.21899414,0.035583496,1.0307007,0.1875,-1.328125,0.359375,398
1695738064180,-0.21728516,0.026550293,1.0233765,0.234375,-1.703125,0.140625,399
1695738064220,-0.21459961,0.044128418,1.0297241,-0.109375,-1.140625,-0.015625,400
1695738064260,-0.21875,0.042907715,1.0187378,-0.46875,-0.828125,0.25,401
1695738064300,-0.22070312,0.039978027,1.0309448,-0.765625,-0.8125,0.078125,402
1695738064340,-0.21704102,0.03363037,1.0292358,-0.203125,-1.1875,0.03125,403
1695738064380,-0.21972656,0.042175293,1.0302124,-0.515625,-0.8125,0.15625,404
1695738064420,-0.2241211,0.04510498,1.0248413,0.046875,-0.953125,0.203125,405
1695738064460,-0.21899414,0.03729248,1.0250854,-0.109375,-1.109375,0.03125,406
1695738064500,-0.2199707,0.043884277,1.0182495,0.046875,-1.0625,0.140625,407
1695738064540,-0.21948242,0.032409668,1.0265503,0.1875,-0.84375,0.09375,408
1695738064580,-0.21875,0.035827637,1.0202026,-0.375,-1.359375,0.15625,409
1695738064620,-0.22290039,0.039733887,1.0194702,-0.125,-1.28125,0.25,410
1695738064660,-0.22021484,0.035583496,1.0297241,0.1875,-0.90625,0.25,411
1695738064700,-0.21557617,0.043395996,1.017273,-0.140625,-1.140625,0.328125,412
1695738064740,-0.22949219,0.043640137,1.0228882,0.0625,-1.109375,0.171875,413
1695738064780,-0.21875,0.03656006,1.0250854,0.15625,-1.234375,0.09375,414
1695738064820,-0.22338867,0.034362793,1.0184937,-0.0625,-1.03125,0.15625,415
1695738064860,-0.22094727,0.04046631,1.0206909,0.078125,-1.34375,0.234375,416
1695738064900,-0.2241211,0.043395996,1.022644,-0.109375,-1.359375,0.109375,417
1695738064940,-0.2211914,0.04046631,1.0231323,0.1875,-1.109375,0.171875,418
1695738064980,-0.21655273,0.038757324,1.0202026,-0.03125,-1.046875,0.03125,419
1695738065020,-0.22167969,0.043884277,1.02948,-0.09375,-1.15625,0.0625,420
1695738065060,-0.22192383,0.04071045,1.0153198,-0.1875,-1.078125,0.109375,421
1695738065100,-0.22363281,0.042663574,1.0231323,-0.5,-0.546875,0.171875,422
1695738065140,-0.21923828,0.045837402,1.0289917,-0.1875,-1.125,0.109375,423
1695738065180,-0.21972656,0.04071045,1.0263062,-0.171875,-1.046875,0.421875,424
1695738065220,-0.21801758,0.041931152,1.0258179,-0.375,-1.046875,0.234375,425
1695738065260,-0.21582031,0.042663574,1.0275269,-0.203125,-1.640625,0.265625,426
1695738065300,-0.22192383,0.038757324,1.0245972,-1.03125,-1.78125,0.265625,427
1695738065340,-0.22753906,0.048034668,1.0304565,-0.671875,-1.5,0.140625,428
1695738065380,-0.2175293,0.046813965,1.020935,-1.671875,-1.765625,0.21875,429
1695738065420,-0.22583008,0.042175293,1.0272827,-1.109375,-2.015625,-0.078125,430
1695738065460,-0.22558594,0.038024902,1.0275269,-1.125,-1.015625,0.28125,431
1695738065500,-0.22265625,0.05633545,1.0297241,-0.53125,-0.90625,0.5,432
1695738065540,-0.22802734,0.04437256,1.0136108,-0.046875,-0.84375,0.140625,433
