,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
61,61,61,-0.09472656,-0.9302368,0.055114746,0.546875,0.09375,3.953125,61
62,62,101,-0.084228516,-0.98150635,0.057800293,4.265625,0.34375,2.625,62
63,63,141,-0.07885742,-1.0317993,0.06854248,1.890625,1.96875,0.90625,63
64,64,181,-0.118896484,-0.9793091,0.0680542,-0.796875,1.859375,2.109375,64
65,65,221,-0.12524414,-0.9793091,0.07196045,4.578125,2.1875,3.453125,65
66,66,261,-0.080078125,-0.98638916,0.06903076,1.9375,1.25,2.65625,66
67,67,301,-0.07910156,-1.0178833,0.019226074,3.0,1.296875,2.875,67
68,68,341,-0.0637207,-0.98931885,0.046813965,-1.3125,1.046875,0.734375,68
69,69,381,-0.060302734,-0.98516846,0.022155762,2.5625,0.828125,2.296875,69
70,70,421,-0.04711914,-0.9385376,0.026306152,-1.453125,0.859375,1.78125,70
71,71,461,-0.038330078,-0.95098877,0.020935059,3.703125,-1.84375,2.421875,71
72,72,501,-0.044189453,-0.99005127,0.058532715,0.390625,-1.390625,1.171875,72
73,73,541,-0.095214844,-1.0020142,0.050231934,2.046875,-2.1875,0.4375,73
74,74,581,-0.09887695,-0.99420166,0.05291748,-1.0,1.265625,0.171875,74
75,75,621,-0.11425781,-0.97540283,0.07366943,3.375,0.1875,0.765625,75
76,76,661,-0.12792969,-1.0325317,0.03338623,3.265625,-0.875,0.375,76
77,77,701,-0.09375,-1.0264282,0.05316162,0.890625,1.1875,-0.734375,77
78,78,741,-0.095214844,-1.005188,0.031188965,-0.765625,-0.078125,-1.484375,78
79,79,781,-0.068115234,-0.97003174,0.024108887,-1.375,0.953125,-1.109375,79
80,80,821,-0.063964844,-0.98101807,-0.009338379,-0.34375,-1.375,-0.875,80
81,81,861,-0.06665039,-0.9680786,-0.002746582,-3.890625,-0.9375,-1.8125,81
82,82,901,-0.07006836,-0.9817505,0.01361084,-0.6875,-1.90625,-1.171875,82
83,83,941,-0.078125,-0.9795532,0.04046631,-4.15625,0.984375,-1.34375,83
84,84,981,-0.080566406,-0.97247314,0.04876709,-3.515625,0.828125,-1.84375,84
85,85,1021,-0.12573242,-0.98101807,0.066833496,2.234375,-1.890625,1.53125,85
86,86,1061,-0.08862305,-1.0327759,0.0680542,1.265625,-1.421875,1.84375,86
87,87,1101,-0.11694336,-1.0193481,0.06732178,-1.03125,-1.265625,2.875,87
88,88,1141,-0.1315918,-1.0234985,0.04559326,-2.015625,-2.078125,2.671875,88
89,89,1181,-0.1003418,-0.991272,0.06317139,-3.078125,0.546875,1.53125,89
90,90,1221,-0.096191406,-0.9939575,0.06463623,-3.421875,0.953125,1.828125,90
91,91,1261,-0.07006836,-0.9500122,0.05633545,-5.0,1.890625,0.484375,91
92,92,1301,-0.080566406,-0.9573364,0.05340576,-0.390625,2.890625,1.0625,92
93,93,1341,-0.06616211,-0.9590454,0.054870605,-1.375,2.6875,0.015625,93
94,94,1381,-0.068115234,-0.95025635,0.06414795,0.96875,4.03125,0.34375,94
95,95,1421,-0.09326172,-0.97857666,0.06976318,3.046875,4.03125,-1.109375,95
96,96,1461,-0.109375,-0.99468994,0.070007324,1.640625,4.984375,-1.171875,96
97,97,1501,-0.09716797,-1.0044556,0.07269287,2.375,4.875,-0.96875,97
98,98,1541,-0.1184082,-0.9944458,0.07733154,2.46875,4.078125,-1.515625,98
99,99,1581,-0.10571289,-1.0354614,0.05291748,3.8125,4.078125,-1.203125,99
100,100,1621,-0.08154297,-0.99713135,0.05340576,-1.53125,6.984375,-1.421875,100
101,101,1661,-0.06713867,-0.9907837,0.028747559,-2.359375,2.4375,-2.34375,101
102,102,1701,-0.07861328,-0.97003174,0.050964355,0.9375,0.28125,-0.546875,102
103,103,1741,-0.06665039,-1.0037231,0.018249512,-2.359375,-0.546875,0.375,103
104,104,1781,-0.07470703,-0.9710083,0.034851074,-1.609375,-1.546875,-0.734375,104
105,105,1821,-0.080078125,-0.97613525,0.036071777,-2.328125,-3.75,2.4375,105
106,106,1861,-0.0703125,-0.9741821,0.066833496,0.0,-2.6875,1.796875,106
107,107,1901,-0.11010742,-1.0117798,0.061706543,-0.046875,-2.875,3.140625,107
108,108,1941,-0.103027344,-0.99884033,0.08685303,-1.21875,-2.84375,2.015625,108
109,109,1981,-0.12817383,-0.9961548,0.0680542,-0.890625,-3.28125,3.015625,109
110,110,2021,-0.107666016,-1.0088501,0.07904053,-1.953125,-0.921875,1.1875,110
111,111,2061,-0.11621094,-1.003479,0.07098389,-2.484375,0.765625,1.109375,111
112,112,2101,-0.10449219,-0.9824829,0.07293701,-2.484375,2.21875,-0.375,112
113,113,2141,-0.072265625,-0.97442627,0.07122803,-1.6875,2.640625,0.25,113
114,114,2181,-0.05810547,-0.96710205,0.07537842,-2.3125,3.34375,-0.875,114
115,115,2221,-0.07348633,-0.96295166,0.070007324,-1.296875,2.984375,-1.140625,115
116,116,2261,-0.07519531,-0.97125244,0.08270264,-0.625,3.71875,-1.765625,116
117,117,2301,-0.07373047,-0.989563,0.07244873,0.203125,2.984375,-3.3125,117
118,118,2341,-0.10229492,-0.96881104,0.10321045,0.359375,5.578125,-3.0,118
119,119,2381,-0.09667969,-0.97662354,0.08074951,-0.890625,2.09375,-3.984375,119
120,120,2421,-0.110839844,-0.9951782,0.105895996,6.375,2.328125,-2.984375,120
121,121,2461,-0.13305664,-1.0264282,0.07244873,0.09375,2.6875,-3.109375,121
122,122,2501,-0.10595703,-0.9973755,0.07513428,1.484375,2.578125,-3.4375,122
123,123,2541,-0.10424805,-0.98687744,0.058288574,0.046875,2.171875,-3.40625,123
124,124,2581,-0.095703125,-0.97735596,0.074645996,1.078125,-0.125,-3.125,124
125,125,2621,-0.091552734,-0.98760986,0.06732178,1.109375,-1.625,-1.53125,125
